Id,Label,FromId,ToId,Properties:role,Properties:importance,Properties:essentiality,Properties:position,Properties:expression,Properties:activity,Properties:confidence,Properties:source
TARGET_PATHWAY_00167,TargetInvolvedInPathway,TARGET_00173,PATHWAY_00036,enzyme,0.218,moderate,upstream,7.97,88.0,0.82,PATHWAY_DB
TARGET_PATHWAY_00168,TargetInvolvedInPathway,TARGET_00056,PATHWAY_00091,substrate,0.243,moderate,downstream,3.52,91.2,0.867,PATHWAY_DB
TARGET_PATHWAY_00169,TargetInvolvedInPathway,TARGET_00005,PATHWAY_00039,substrate,0.511,moderate,central,9.85,36.6,0.88,PATHWAY_DB
TARGET_PATHWAY_00170,TargetInvolvedInPathway,TARGET_00182,PATHWAY_00090,cofactor,0.54,minor,peripheral,1.33,61.7,0.741,PATHWAY_DB
TARGET_PATHWAY_00171,TargetInvolvedInPathway,TARGET_00166,PATHWAY_00094,substrate,0.175,important,upstream,2.25,49.2,0.912,PATHWAY_DB
TARGET_PATHWAY_00172,TargetInvolvedInPathway,TARGET_00080,PATHWAY_00058,enzyme,0.13,moderate,central,3.88,54.2,0.879,PATHWAY_DB
TARGET_PATHWAY_00173,TargetInvolvedInPathway,TARGET_00114,PATHWAY_00066,cofactor,0.734,moderate,upstream,5.43,12.7,0.916,PATHWAY_DB
TARGET_PATHWAY_00174,TargetInvolvedInPathway,TARGET_00139,PATHWAY_00005,enzyme,0.192,essential,upstream,9.05,71.3,0.9,PATHWAY_DB
TARGET_PATHWAY_00175,TargetInvolvedInPathway,TARGET_00157,PATHWAY_00041,regulator,0.716,minor,peripheral,1.32,37.5,0.769,PATHWAY_DB
TARGET_PATHWAY_00176,TargetInvolvedInPathway,TARGET_00086,PATHWAY_00084,substrate,0.209,essential,central,4.6,33.6,0.934,PATHWAY_DB
TARGET_PATHWAY_00177,TargetInvolvedInPathway,TARGET_00109,PATHWAY_00100,cofactor,0.862,important,downstream,0.41,24.1,0.709,PATHWAY_DB
TARGET_PATHWAY_00178,TargetInvolvedInPathway,TARGET_00120,PATHWAY_00097,regulator,0.65,moderate,downstream,8.95,57.8,0.825,PATHWAY_DB
TARGET_PATHWAY_00179,TargetInvolvedInPathway,TARGET_00007,PATHWAY_00028,cofactor,0.86,minor,upstream,7.56,21.5,0.712,PATHWAY_DB
TARGET_PATHWAY_00180,TargetInvolvedInPathway,TARGET_00143,PATHWAY_00015,enzyme,0.312,moderate,central,5.74,5.1,0.717,PATHWAY_DB
TARGET_PATHWAY_00181,TargetInvolvedInPathway,TARGET_00048,PATHWAY_00081,regulator,0.863,moderate,upstream,2.37,92.8,0.871,PATHWAY_DB
TARGET_PATHWAY_00182,TargetInvolvedInPathway,TARGET_00167,PATHWAY_00096,enzyme,0.862,essential,peripheral,8.64,97.1,0.812,PATHWAY_DB
TARGET_PATHWAY_00183,TargetInvolvedInPathway,TARGET_00018,PATHWAY_00006,regulator,0.687,essential,peripheral,9.27,63.5,0.787,PATHWAY_DB
TARGET_PATHWAY_00184,TargetInvolvedInPathway,TARGET_00185,PATHWAY_00010,enzyme,0.769,moderate,upstream,1.82,24.2,0.898,PATHWAY_DB
TARGET_PATHWAY_00185,TargetInvolvedInPathway,TARGET_00188,PATHWAY_00057,enzyme,0.478,essential,central,9.53,53.6,0.789,PATHWAY_DB
TARGET_PATHWAY_00186,TargetInvolvedInPathway,TARGET_00099,PATHWAY_00077,enzyme,0.428,moderate,downstream,0.89,56.3,0.836,PATHWAY_DB
TARGET_PATHWAY_00187,TargetInvolvedInPathway,TARGET_00008,PATHWAY_00043,enzyme,0.812,important,peripheral,9.95,11.7,0.765,PATHWAY_DB
TARGET_PATHWAY_00188,TargetInvolvedInPathway,TARGET_00114,PATHWAY_00096,enzyme,0.382,important,upstream,0.22,46.0,0.707,PATHWAY_DB
TARGET_PATHWAY_00189,TargetInvolvedInPathway,TARGET_00031,PATHWAY_00028,enzyme,0.576,essential,peripheral,1.56,52.6,0.783,PATHWAY_DB
TARGET_PATHWAY_00190,TargetInvolvedInPathway,TARGET_00044,PATHWAY_00070,substrate,0.764,moderate,downstream,6.89,8.8,0.752,PATHWAY_DB
TARGET_PATHWAY_00191,TargetInvolvedInPathway,TARGET_00152,PATHWAY_00049,enzyme,0.148,important,downstream,4.4,34.8,0.828,PATHWAY_DB
TARGET_PATHWAY_00192,TargetInvolvedInPathway,TARGET_00136,PATHWAY_00034,substrate,0.972,minor,peripheral,4.09,61.1,0.778,PATHWAY_DB
TARGET_PATHWAY_00193,TargetInvolvedInPathway,TARGET_00070,PATHWAY_00023,substrate,0.926,minor,upstream,7.62,93.9,0.726,PATHWAY_DB
TARGET_PATHWAY_00194,TargetInvolvedInPathway,TARGET_00179,PATHWAY_00038,enzyme,0.681,minor,upstream,3.1,17.8,0.892,PATHWAY_DB
TARGET_PATHWAY_00195,TargetInvolvedInPathway,TARGET_00050,PATHWAY_00015,regulator,0.409,minor,downstream,7.31,43.8,0.864,PATHWAY_DB
TARGET_PATHWAY_00196,TargetInvolvedInPathway,TARGET_00107,PATHWAY_00062,enzyme,0.713,essential,peripheral,0.19,62.2,0.889,PATHWAY_DB
TARGET_PATHWAY_00197,TargetInvolvedInPathway,TARGET_00175,PATHWAY_00017,regulator,0.504,important,downstream,5.33,10.3,0.845,PATHWAY_DB
TARGET_PATHWAY_00198,TargetInvolvedInPathway,TARGET_00059,PATHWAY_00024,substrate,0.233,essential,upstream,9.46,88.4,0.771,PATHWAY_DB
TARGET_PATHWAY_00199,TargetInvolvedInPathway,TARGET_00055,PATHWAY_00100,regulator,0.491,important,downstream,1.64,69.5,0.928,PATHWAY_DB
TARGET_PATHWAY_00200,TargetInvolvedInPathway,TARGET_00056,PATHWAY_00039,enzyme,0.137,important,peripheral,4.56,9.7,0.85,PATHWAY_DB
TARGET_PATHWAY_00201,TargetInvolvedInPathway,TARGET_00068,PATHWAY_00071,enzyme,0.771,important,upstream,8.94,10.0,0.914,PATHWAY_DB
TARGET_PATHWAY_00202,TargetInvolvedInPathway,TARGET_00115,PATHWAY_00076,cofactor,0.926,essential,peripheral,3.65,66.1,0.945,PATHWAY_DB
TARGET_PATHWAY_00203,TargetInvolvedInPathway,TARGET_00143,PATHWAY_00078,substrate,0.685,important,upstream,2.94,76.3,0.864,PATHWAY_DB
TARGET_PATHWAY_00204,TargetInvolvedInPathway,TARGET_00044,PATHWAY_00028,enzyme,0.941,minor,peripheral,7.87,68.4,0.895,PATHWAY_DB
TARGET_PATHWAY_00205,TargetInvolvedInPathway,TARGET_00025,PATHWAY_00077,cofactor,0.383,minor,peripheral,8.04,29.8,0.936,PATHWAY_DB
TARGET_PATHWAY_00206,TargetInvolvedInPathway,TARGET_00069,PATHWAY_00082,cofactor,0.872,minor,downstream,9.38,13.7,0.813,PATHWAY_DB
TARGET_PATHWAY_00207,TargetInvolvedInPathway,TARGET_00126,PATHWAY_00006,regulator,0.784,moderate,downstream,7.76,60.6,0.917,PATHWAY_DB
TARGET_PATHWAY_00208,TargetInvolvedInPathway,TARGET_00014,PATHWAY_00098,substrate,0.533,moderate,upstream,8.9,19.0,0.853,PATHWAY_DB
TARGET_PATHWAY_00209,TargetInvolvedInPathway,TARGET_00086,PATHWAY_00015,substrate,0.636,moderate,downstream,1.68,10.3,0.799,PATHWAY_DB
TARGET_PATHWAY_00210,TargetInvolvedInPathway,TARGET_00182,PATHWAY_00095,regulator,0.68,important,central,0.69,27.2,0.704,PATHWAY_DB
TARGET_PATHWAY_00211,TargetInvolvedInPathway,TARGET_00021,PATHWAY_00054,enzyme,0.532,important,peripheral,9.98,89.3,0.824,PATHWAY_DB
TARGET_PATHWAY_00212,TargetInvolvedInPathway,TARGET_00146,PATHWAY_00066,regulator,0.78,essential,downstream,3.7,46.0,0.752,PATHWAY_DB
TARGET_PATHWAY_00213,TargetInvolvedInPathway,TARGET_00160,PATHWAY_00070,substrate,0.448,minor,central,7.87,19.2,0.766,PATHWAY_DB
TARGET_PATHWAY_00214,TargetInvolvedInPathway,TARGET_00101,PATHWAY_00033,regulator,0.741,moderate,peripheral,3.94,0.3,0.94,PATHWAY_DB
TARGET_PATHWAY_00215,TargetInvolvedInPathway,TARGET_00117,PATHWAY_00008,substrate,0.669,minor,central,7.31,65.4,0.798,PATHWAY_DB
TARGET_PATHWAY_00216,TargetInvolvedInPathway,TARGET_00115,PATHWAY_00052,enzyme,0.154,moderate,peripheral,6.78,99.5,0.807,PATHWAY_DB
TARGET_PATHWAY_00217,TargetInvolvedInPathway,TARGET_00080,PATHWAY_00045,substrate,0.656,essential,central,0.79,82.1,0.93,PATHWAY_DB
TARGET_PATHWAY_00218,TargetInvolvedInPathway,TARGET_00171,PATHWAY_00024,regulator,0.774,essential,peripheral,6.08,52.7,0.71,PATHWAY_DB
TARGET_PATHWAY_00219,TargetInvolvedInPathway,TARGET_00057,PATHWAY_00046,enzyme,0.362,moderate,downstream,6.27,92.5,0.891,PATHWAY_DB
TARGET_PATHWAY_00220,TargetInvolvedInPathway,TARGET_00010,PATHWAY_00080,substrate,0.447,essential,upstream,5.45,8.5,0.713,PATHWAY_DB
TARGET_PATHWAY_00221,TargetInvolvedInPathway,TARGET_00097,PATHWAY_00011,cofactor,0.732,important,central,9.66,62.4,0.877,PATHWAY_DB
TARGET_PATHWAY_00222,TargetInvolvedInPathway,TARGET_00066,PATHWAY_00062,regulator,0.42,important,downstream,8.05,58.5,0.799,PATHWAY_DB
TARGET_PATHWAY_00223,TargetInvolvedInPathway,TARGET_00141,PATHWAY_00060,substrate,0.964,minor,peripheral,6.84,62.5,0.815,PATHWAY_DB
TARGET_PATHWAY_00224,TargetInvolvedInPathway,TARGET_00078,PATHWAY_00022,enzyme,0.401,minor,downstream,6.97,59.5,0.895,PATHWAY_DB
TARGET_PATHWAY_00225,TargetInvolvedInPathway,TARGET_00109,PATHWAY_00080,enzyme,0.598,moderate,downstream,6.91,18.1,0.785,PATHWAY_DB
TARGET_PATHWAY_00226,TargetInvolvedInPathway,TARGET_00084,PATHWAY_00071,substrate,0.928,important,peripheral,7.5,98.1,0.869,PATHWAY_DB
TARGET_PATHWAY_00227,TargetInvolvedInPathway,TARGET_00197,PATHWAY_00034,enzyme,0.186,minor,upstream,9.43,71.2,0.938,PATHWAY_DB
TARGET_PATHWAY_00228,TargetInvolvedInPathway,TARGET_00091,PATHWAY_00070,substrate,0.399,essential,central,7.76,70.4,0.784,PATHWAY_DB
TARGET_PATHWAY_00229,TargetInvolvedInPathway,TARGET_00025,PATHWAY_00007,regulator,0.256,minor,downstream,1.16,59.6,0.872,PATHWAY_DB
TARGET_PATHWAY_00230,TargetInvolvedInPathway,TARGET_00180,PATHWAY_00048,cofactor,0.422,important,upstream,9.15,91.2,0.703,PATHWAY_DB
TARGET_PATHWAY_00231,TargetInvolvedInPathway,TARGET_00100,PATHWAY_00080,enzyme,0.699,moderate,upstream,5.15,13.3,0.751,PATHWAY_DB
TARGET_PATHWAY_00232,TargetInvolvedInPathway,TARGET_00193,PATHWAY_00031,regulator,0.283,moderate,central,9.61,77.5,0.782,PATHWAY_DB
TARGET_PATHWAY_00233,TargetInvolvedInPathway,TARGET_00003,PATHWAY_00081,regulator,0.86,minor,downstream,9.82,40.1,0.874,PATHWAY_DB
TARGET_PATHWAY_00234,TargetInvolvedInPathway,TARGET_00111,PATHWAY_00079,enzyme,0.865,essential,upstream,7.5,16.3,0.76,PATHWAY_DB
TARGET_PATHWAY_00235,TargetInvolvedInPathway,TARGET_00102,PATHWAY_00024,substrate,0.188,moderate,central,7.75,2.1,0.719,PATHWAY_DB
TARGET_PATHWAY_00236,TargetInvolvedInPathway,TARGET_00011,PATHWAY_00038,cofactor,0.434,essential,peripheral,9.79,68.8,0.708,PATHWAY_DB
TARGET_PATHWAY_00237,TargetInvolvedInPathway,TARGET_00189,PATHWAY_00024,regulator,0.379,essential,downstream,2.41,14.2,0.886,PATHWAY_DB
TARGET_PATHWAY_00238,TargetInvolvedInPathway,TARGET_00151,PATHWAY_00089,enzyme,0.89,moderate,central,6.53,28.6,0.765,PATHWAY_DB
TARGET_PATHWAY_00239,TargetInvolvedInPathway,TARGET_00146,PATHWAY_00081,substrate,0.404,minor,downstream,3.5,21.3,0.937,PATHWAY_DB
TARGET_PATHWAY_00240,TargetInvolvedInPathway,TARGET_00068,PATHWAY_00099,regulator,0.371,minor,peripheral,4.94,64.3,0.775,PATHWAY_DB
TARGET_PATHWAY_00241,TargetInvolvedInPathway,TARGET_00183,PATHWAY_00098,enzyme,0.191,minor,upstream,2.11,21.3,0.761,PATHWAY_DB
TARGET_PATHWAY_00242,TargetInvolvedInPathway,TARGET_00192,PATHWAY_00065,enzyme,0.755,essential,downstream,3.08,9.5,0.864,PATHWAY_DB
TARGET_PATHWAY_00243,TargetInvolvedInPathway,TARGET_00139,PATHWAY_00011,regulator,0.148,moderate,downstream,2.55,80.2,0.769,PATHWAY_DB
TARGET_PATHWAY_00244,TargetInvolvedInPathway,TARGET_00120,PATHWAY_00076,substrate,0.944,minor,peripheral,4.63,90.8,0.876,PATHWAY_DB
TARGET_PATHWAY_00245,TargetInvolvedInPathway,TARGET_00105,PATHWAY_00020,cofactor,0.419,essential,upstream,5.04,11.2,0.891,PATHWAY_DB
TARGET_PATHWAY_00246,TargetInvolvedInPathway,TARGET_00156,PATHWAY_00084,regulator,1.0,moderate,downstream,8.75,45.6,0.839,PATHWAY_DB
TARGET_PATHWAY_00247,TargetInvolvedInPathway,TARGET_00113,PATHWAY_00015,regulator,0.37,important,peripheral,2.37,33.8,0.863,PATHWAY_DB
TARGET_PATHWAY_00248,TargetInvolvedInPathway,TARGET_00008,PATHWAY_00046,regulator,0.917,essential,upstream,3.54,38.3,0.892,PATHWAY_DB
TARGET_PATHWAY_00249,TargetInvolvedInPathway,TARGET_00186,PATHWAY_00071,substrate,0.493,essential,peripheral,8.98,72.5,0.713,PATHWAY_DB
TARGET_PATHWAY_00250,TargetInvolvedInPathway,TARGET_00144,PATHWAY_00030,cofactor,0.304,minor,central,1.13,62.6,0.73,PATHWAY_DB
