Id,Label,FromId,ToId,Properties:efficacy,Properties:sideEffectProfile,Properties:dosage,Properties:frequency,Properties:duration,Properties:route,Properties:indication,Properties:evidence,Properties:confidence,Properties:source
DRUG_TREATS_00154,DrugTreats,DRUG_00273,DISEASE_00100,0.818,severe,443mg,as_needed,48 weeks,oral,primary,Phase_II,0.84,CLINICAL_TRIALS
DRUG_TREATS_00155,DrugTreats,DRUG_00442,DISEASE_00074,0.401,severe,218mg,twice_daily,33 weeks,oral,primary,Phase_III,0.713,CLINICAL_TRIALS
DRUG_TREATS_00156,DrugTreats,DRUG_00033,DISEASE_00063,0.74,mild,118mg,three_times_daily,28 weeks,intravenous,off_label,case_study,0.734,CLINICAL_TRIALS
DRUG_TREATS_00157,DrugTreats,DRUG_00253,DISEASE_00133,0.597,mild,488mg,twice_daily,36 weeks,oral,primary,Phase_III,0.8,CLINICAL_TRIALS
DRUG_TREATS_00158,DrugTreats,DRUG_00432,DISEASE_00069,0.589,severe,424mg,as_needed,7 weeks,intravenous,off_label,Phase_III,0.883,CLINICAL_TRIALS
DRUG_TREATS_00159,DrugTreats,DRUG_00473,DISEASE_00148,0.607,moderate,319mg,twice_daily,48 weeks,oral,secondary,real_world,0.765,CLINICAL_TRIALS
DRUG_TREATS_00160,DrugTreats,DRUG_00491,DISEASE_00130,0.427,mild,184mg,twice_daily,45 weeks,topical,off_label,Phase_II,0.736,CLINICAL_TRIALS
DRUG_TREATS_00161,DrugTreats,DRUG_00240,DISEASE_00089,0.386,moderate,342mg,twice_daily,10 weeks,intramuscular,secondary,real_world,0.922,CLINICAL_TRIALS
DRUG_TREATS_00162,DrugTreats,DRUG_00095,DISEASE_00042,0.919,mild,132mg,three_times_daily,2 weeks,intramuscular,off_label,case_study,0.862,CLINICAL_TRIALS
DRUG_TREATS_00163,DrugTreats,DRUG_00497,DISEASE_00036,0.819,moderate,177mg,twice_daily,25 weeks,intravenous,off_label,Phase_II,0.717,CLINICAL_TRIALS
DRUG_TREATS_00164,DrugTreats,DRUG_00322,DISEASE_00033,0.388,severe,344mg,as_needed,51 weeks,topical,primary,Phase_III,0.938,CLINICAL_TRIALS
DRUG_TREATS_00165,DrugTreats,DRUG_00148,DISEASE_00020,0.43,moderate,390mg,three_times_daily,19 weeks,intravenous,secondary,real_world,0.815,CLINICAL_TRIALS
DRUG_TREATS_00166,DrugTreats,DRUG_00125,DISEASE_00024,0.463,severe,42mg,three_times_daily,49 weeks,oral,primary,real_world,0.93,CLINICAL_TRIALS
DRUG_TREATS_00167,DrugTreats,DRUG_00281,DISEASE_00024,0.494,severe,127mg,as_needed,33 weeks,topical,secondary,Phase_III,0.782,CLINICAL_TRIALS
DRUG_TREATS_00168,DrugTreats,DRUG_00108,DISEASE_00099,0.612,moderate,402mg,twice_daily,24 weeks,intravenous,primary,real_world,0.731,CLINICAL_TRIALS
DRUG_TREATS_00169,DrugTreats,DRUG_00180,DISEASE_00085,0.844,mild,328mg,twice_daily,30 weeks,topical,primary,real_world,0.794,CLINICAL_TRIALS
DRUG_TREATS_00170,DrugTreats,DRUG_00312,DISEASE_00078,0.939,moderate,428mg,once_daily,41 weeks,intramuscular,primary,real_world,0.92,CLINICAL_TRIALS
DRUG_TREATS_00171,DrugTreats,DRUG_00059,DISEASE_00147,0.458,mild,191mg,twice_daily,22 weeks,oral,secondary,case_study,0.887,CLINICAL_TRIALS
DRUG_TREATS_00172,DrugTreats,DRUG_00379,DISEASE_00034,0.345,mild,112mg,twice_daily,24 weeks,intramuscular,secondary,Phase_II,0.86,CLINICAL_TRIALS
DRUG_TREATS_00173,DrugTreats,DRUG_00218,DISEASE_00027,0.478,mild,392mg,once_daily,27 weeks,topical,secondary,case_study,0.811,CLINICAL_TRIALS
DRUG_TREATS_00174,DrugTreats,DRUG_00008,DISEASE_00147,0.722,mild,336mg,three_times_daily,21 weeks,intramuscular,off_label,Phase_III,0.844,CLINICAL_TRIALS
DRUG_TREATS_00175,DrugTreats,DRUG_00046,DISEASE_00020,0.764,moderate,15mg,twice_daily,6 weeks,oral,primary,Phase_III,0.909,CLINICAL_TRIALS
DRUG_TREATS_00176,DrugTreats,DRUG_00267,DISEASE_00072,0.659,moderate,467mg,three_times_daily,40 weeks,oral,off_label,Phase_III,0.732,CLINICAL_TRIALS
DRUG_TREATS_00177,DrugTreats,DRUG_00122,DISEASE_00093,0.611,mild,367mg,twice_daily,10 weeks,topical,primary,Phase_III,0.911,CLINICAL_TRIALS
DRUG_TREATS_00178,DrugTreats,DRUG_00335,DISEASE_00108,0.32,mild,128mg,once_daily,32 weeks,intravenous,off_label,real_world,0.824,CLINICAL_TRIALS
DRUG_TREATS_00179,DrugTreats,DRUG_00079,DISEASE_00137,0.669,severe,40mg,twice_daily,39 weeks,oral,secondary,real_world,0.815,CLINICAL_TRIALS
DRUG_TREATS_00180,DrugTreats,DRUG_00055,DISEASE_00088,0.677,moderate,361mg,once_daily,30 weeks,intravenous,off_label,case_study,0.803,CLINICAL_TRIALS
DRUG_TREATS_00181,DrugTreats,DRUG_00099,DISEASE_00039,0.879,moderate,422mg,as_needed,41 weeks,intravenous,off_label,Phase_III,0.705,CLINICAL_TRIALS
DRUG_TREATS_00182,DrugTreats,DRUG_00153,DISEASE_00119,0.804,mild,347mg,as_needed,21 weeks,oral,primary,Phase_III,0.715,CLINICAL_TRIALS
DRUG_TREATS_00183,DrugTreats,DRUG_00206,DISEASE_00038,0.465,severe,414mg,three_times_daily,4 weeks,intramuscular,primary,Phase_II,0.742,CLINICAL_TRIALS
DRUG_TREATS_00184,DrugTreats,DRUG_00444,DISEASE_00108,0.744,mild,301mg,once_daily,33 weeks,intravenous,off_label,real_world,0.717,CLINICAL_TRIALS
DRUG_TREATS_00185,DrugTreats,DRUG_00173,DISEASE_00125,0.717,moderate,302mg,twice_daily,18 weeks,oral,primary,Phase_II,0.816,CLINICAL_TRIALS
DRUG_TREATS_00186,DrugTreats,DRUG_00037,DISEASE_00056,0.538,mild,313mg,once_daily,13 weeks,oral,primary,case_study,0.944,CLINICAL_TRIALS
DRUG_TREATS_00187,DrugTreats,DRUG_00099,DISEASE_00049,0.742,moderate,500mg,as_needed,38 weeks,intravenous,secondary,Phase_II,0.73,CLINICAL_TRIALS
DRUG_TREATS_00188,DrugTreats,DRUG_00052,DISEASE_00049,0.934,mild,305mg,as_needed,6 weeks,intravenous,secondary,Phase_II,0.757,CLINICAL_TRIALS
DRUG_TREATS_00189,DrugTreats,DRUG_00408,DISEASE_00021,0.64,severe,106mg,as_needed,29 weeks,intramuscular,off_label,Phase_II,0.851,CLINICAL_TRIALS
DRUG_TREATS_00190,DrugTreats,DRUG_00366,DISEASE_00096,0.35,moderate,483mg,three_times_daily,8 weeks,intramuscular,primary,Phase_III,0.742,CLINICAL_TRIALS
DRUG_TREATS_00191,DrugTreats,DRUG_00234,DISEASE_00034,0.762,severe,426mg,once_daily,5 weeks,topical,off_label,case_study,0.906,CLINICAL_TRIALS
DRUG_TREATS_00192,DrugTreats,DRUG_00394,DISEASE_00006,0.628,mild,55mg,twice_daily,44 weeks,intramuscular,secondary,case_study,0.813,CLINICAL_TRIALS
DRUG_TREATS_00193,DrugTreats,DRUG_00128,DISEASE_00131,0.565,severe,97mg,twice_daily,20 weeks,oral,off_label,case_study,0.974,CLINICAL_TRIALS
DRUG_TREATS_00194,DrugTreats,DRUG_00087,DISEASE_00120,0.86,mild,43mg,once_daily,39 weeks,intravenous,secondary,real_world,0.775,CLINICAL_TRIALS
DRUG_TREATS_00195,DrugTreats,DRUG_00428,DISEASE_00092,0.633,moderate,183mg,three_times_daily,14 weeks,intravenous,off_label,real_world,0.938,CLINICAL_TRIALS
DRUG_TREATS_00196,DrugTreats,DRUG_00379,DISEASE_00052,0.311,mild,433mg,three_times_daily,41 weeks,intramuscular,primary,Phase_II,0.718,CLINICAL_TRIALS
DRUG_TREATS_00197,DrugTreats,DRUG_00475,DISEASE_00139,0.899,moderate,463mg,three_times_daily,1 weeks,oral,primary,case_study,0.801,CLINICAL_TRIALS
DRUG_TREATS_00198,DrugTreats,DRUG_00154,DISEASE_00129,0.665,severe,289mg,once_daily,21 weeks,topical,primary,Phase_II,0.839,CLINICAL_TRIALS
DRUG_TREATS_00199,DrugTreats,DRUG_00467,DISEASE_00131,0.329,mild,415mg,three_times_daily,20 weeks,oral,primary,real_world,0.723,CLINICAL_TRIALS
DRUG_TREATS_00200,DrugTreats,DRUG_00076,DISEASE_00078,0.542,moderate,36mg,twice_daily,12 weeks,intravenous,secondary,case_study,0.898,CLINICAL_TRIALS
DRUG_TREATS_00201,DrugTreats,DRUG_00005,DISEASE_00061,0.914,mild,279mg,as_needed,4 weeks,intramuscular,off_label,Phase_III,0.792,CLINICAL_TRIALS
DRUG_TREATS_00202,DrugTreats,DRUG_00098,DISEASE_00108,0.392,moderate,222mg,as_needed,1 weeks,intramuscular,primary,Phase_III,0.872,CLINICAL_TRIALS
DRUG_TREATS_00203,DrugTreats,DRUG_00265,DISEASE_00089,0.327,severe,441mg,as_needed,19 weeks,intravenous,secondary,real_world,0.801,CLINICAL_TRIALS
DRUG_TREATS_00204,DrugTreats,DRUG_00358,DISEASE_00076,0.753,mild,337mg,twice_daily,9 weeks,intramuscular,off_label,real_world,0.74,CLINICAL_TRIALS
DRUG_TREATS_00205,DrugTreats,DRUG_00324,DISEASE_00023,0.796,moderate,260mg,once_daily,45 weeks,oral,off_label,Phase_III,0.86,CLINICAL_TRIALS
DRUG_TREATS_00206,DrugTreats,DRUG_00293,DISEASE_00057,0.668,severe,375mg,three_times_daily,6 weeks,oral,primary,Phase_II,0.781,CLINICAL_TRIALS
DRUG_TREATS_00207,DrugTreats,DRUG_00001,DISEASE_00115,0.632,severe,66mg,once_daily,16 weeks,oral,off_label,case_study,0.804,CLINICAL_TRIALS
DRUG_TREATS_00208,DrugTreats,DRUG_00326,DISEASE_00115,0.532,severe,391mg,as_needed,32 weeks,oral,off_label,Phase_III,0.702,CLINICAL_TRIALS
DRUG_TREATS_00209,DrugTreats,DRUG_00411,DISEASE_00066,0.842,mild,436mg,once_daily,32 weeks,oral,primary,real_world,0.893,CLINICAL_TRIALS
DRUG_TREATS_00210,DrugTreats,DRUG_00296,DISEASE_00012,0.944,moderate,11mg,three_times_daily,48 weeks,oral,primary,Phase_II,0.87,CLINICAL_TRIALS
DRUG_TREATS_00211,DrugTreats,DRUG_00240,DISEASE_00119,0.804,severe,410mg,twice_daily,2 weeks,topical,off_label,case_study,0.803,CLINICAL_TRIALS
DRUG_TREATS_00212,DrugTreats,DRUG_00329,DISEASE_00143,0.873,mild,246mg,twice_daily,24 weeks,intravenous,secondary,case_study,0.848,CLINICAL_TRIALS
DRUG_TREATS_00213,DrugTreats,DRUG_00157,DISEASE_00035,0.685,severe,65mg,once_daily,48 weeks,intravenous,secondary,Phase_II,0.738,CLINICAL_TRIALS
DRUG_TREATS_00214,DrugTreats,DRUG_00056,DISEASE_00008,0.731,moderate,413mg,twice_daily,21 weeks,intravenous,primary,Phase_II,0.706,CLINICAL_TRIALS
DRUG_TREATS_00215,DrugTreats,DRUG_00446,DISEASE_00128,0.417,severe,259mg,twice_daily,20 weeks,oral,primary,Phase_II,0.734,CLINICAL_TRIALS
DRUG_TREATS_00216,DrugTreats,DRUG_00067,DISEASE_00085,0.444,moderate,458mg,twice_daily,51 weeks,intravenous,off_label,Phase_II,0.74,CLINICAL_TRIALS
DRUG_TREATS_00217,DrugTreats,DRUG_00317,DISEASE_00102,0.397,mild,31mg,once_daily,42 weeks,intramuscular,off_label,Phase_II,0.972,CLINICAL_TRIALS
DRUG_TREATS_00218,DrugTreats,DRUG_00114,DISEASE_00099,0.34,mild,323mg,three_times_daily,11 weeks,oral,primary,Phase_III,0.757,CLINICAL_TRIALS
DRUG_TREATS_00219,DrugTreats,DRUG_00119,DISEASE_00004,0.747,mild,28mg,twice_daily,8 weeks,intravenous,off_label,case_study,0.904,CLINICAL_TRIALS
DRUG_TREATS_00220,DrugTreats,DRUG_00236,DISEASE_00145,0.941,mild,335mg,as_needed,20 weeks,intramuscular,secondary,case_study,0.774,CLINICAL_TRIALS
DRUG_TREATS_00221,DrugTreats,DRUG_00061,DISEASE_00038,0.772,mild,447mg,twice_daily,18 weeks,intravenous,secondary,real_world,0.721,CLINICAL_TRIALS
DRUG_TREATS_00222,DrugTreats,DRUG_00180,DISEASE_00078,0.802,mild,136mg,as_needed,42 weeks,intramuscular,primary,real_world,0.94,CLINICAL_TRIALS
DRUG_TREATS_00223,DrugTreats,DRUG_00456,DISEASE_00070,0.354,severe,54mg,three_times_daily,11 weeks,topical,primary,real_world,0.941,CLINICAL_TRIALS
DRUG_TREATS_00224,DrugTreats,DRUG_00407,DISEASE_00061,0.686,severe,332mg,twice_daily,31 weeks,oral,primary,case_study,0.866,CLINICAL_TRIALS
DRUG_TREATS_00225,DrugTreats,DRUG_00354,DISEASE_00005,0.667,mild,125mg,once_daily,50 weeks,oral,off_label,real_world,0.802,CLINICAL_TRIALS
DRUG_TREATS_00226,DrugTreats,DRUG_00425,DISEASE_00070,0.34,severe,174mg,twice_daily,42 weeks,topical,off_label,Phase_III,0.706,CLINICAL_TRIALS
DRUG_TREATS_00227,DrugTreats,DRUG_00235,DISEASE_00135,0.846,severe,124mg,once_daily,1 weeks,intramuscular,off_label,case_study,0.907,CLINICAL_TRIALS
DRUG_TREATS_00228,DrugTreats,DRUG_00276,DISEASE_00144,0.765,moderate,352mg,twice_daily,36 weeks,intramuscular,off_label,real_world,0.931,CLINICAL_TRIALS
DRUG_TREATS_00229,DrugTreats,DRUG_00390,DISEASE_00124,0.367,mild,196mg,once_daily,36 weeks,intramuscular,secondary,case_study,0.82,CLINICAL_TRIALS
DRUG_TREATS_00230,DrugTreats,DRUG_00125,DISEASE_00003,0.874,severe,292mg,three_times_daily,38 weeks,intramuscular,secondary,Phase_II,0.876,CLINICAL_TRIALS
DRUG_TREATS_00231,DrugTreats,DRUG_00369,DISEASE_00090,0.673,moderate,33mg,once_daily,14 weeks,oral,secondary,Phase_II,0.78,CLINICAL_TRIALS
DRUG_TREATS_00232,DrugTreats,DRUG_00283,DISEASE_00126,0.441,mild,200mg,three_times_daily,32 weeks,oral,secondary,Phase_III,0.712,CLINICAL_TRIALS
DRUG_TREATS_00233,DrugTreats,DRUG_00018,DISEASE_00116,0.923,severe,408mg,twice_daily,47 weeks,intramuscular,primary,Phase_III,0.946,CLINICAL_TRIALS
DRUG_TREATS_00234,DrugTreats,DRUG_00460,DISEASE_00050,0.573,severe,147mg,as_needed,26 weeks,topical,off_label,case_study,0.924,CLINICAL_TRIALS
DRUG_TREATS_00235,DrugTreats,DRUG_00111,DISEASE_00119,0.735,mild,210mg,as_needed,49 weeks,topical,off_label,case_study,0.943,CLINICAL_TRIALS
DRUG_TREATS_00236,DrugTreats,DRUG_00490,DISEASE_00131,0.93,moderate,281mg,twice_daily,36 weeks,intramuscular,secondary,case_study,0.883,CLINICAL_TRIALS
DRUG_TREATS_00237,DrugTreats,DRUG_00044,DISEASE_00081,0.431,mild,192mg,as_needed,9 weeks,oral,secondary,Phase_II,0.82,CLINICAL_TRIALS
DRUG_TREATS_00238,DrugTreats,DRUG_00205,DISEASE_00038,0.582,moderate,239mg,twice_daily,26 weeks,intramuscular,off_label,Phase_III,0.798,CLINICAL_TRIALS
DRUG_TREATS_00239,DrugTreats,DRUG_00201,DISEASE_00078,0.413,mild,29mg,three_times_daily,32 weeks,intravenous,off_label,real_world,0.863,CLINICAL_TRIALS
DRUG_TREATS_00240,DrugTreats,DRUG_00499,DISEASE_00030,0.91,severe,471mg,twice_daily,46 weeks,intravenous,primary,Phase_II,0.795,CLINICAL_TRIALS
DRUG_TREATS_00241,DrugTreats,DRUG_00485,DISEASE_00021,0.921,mild,81mg,twice_daily,6 weeks,intramuscular,off_label,real_world,0.75,CLINICAL_TRIALS
DRUG_TREATS_00242,DrugTreats,DRUG_00450,DISEASE_00086,0.935,severe,497mg,twice_daily,49 weeks,topical,secondary,Phase_III,0.858,CLINICAL_TRIALS
DRUG_TREATS_00243,DrugTreats,DRUG_00395,DISEASE_00031,0.541,moderate,221mg,three_times_daily,36 weeks,intravenous,secondary,Phase_II,0.74,CLINICAL_TRIALS
DRUG_TREATS_00244,DrugTreats,DRUG_00150,DISEASE_00064,0.84,mild,277mg,as_needed,6 weeks,topical,secondary,Phase_III,0.829,CLINICAL_TRIALS
DRUG_TREATS_00245,DrugTreats,DRUG_00226,DISEASE_00079,0.722,mild,45mg,three_times_daily,46 weeks,intramuscular,off_label,real_world,0.881,CLINICAL_TRIALS
DRUG_TREATS_00246,DrugTreats,DRUG_00336,DISEASE_00103,0.705,mild,392mg,twice_daily,24 weeks,intravenous,off_label,Phase_III,0.744,CLINICAL_TRIALS
DRUG_TREATS_00247,DrugTreats,DRUG_00102,DISEASE_00010,0.919,mild,455mg,three_times_daily,2 weeks,topical,secondary,real_world,0.712,CLINICAL_TRIALS
DRUG_TREATS_00248,DrugTreats,DRUG_00213,DISEASE_00048,0.341,moderate,229mg,once_daily,22 weeks,intravenous,secondary,real_world,0.823,CLINICAL_TRIALS
DRUG_TREATS_00249,DrugTreats,DRUG_00091,DISEASE_00050,0.632,moderate,149mg,twice_daily,40 weeks,intramuscular,primary,real_world,0.921,CLINICAL_TRIALS
DRUG_TREATS_00250,DrugTreats,DRUG_00426,DISEASE_00057,0.616,mild,324mg,twice_daily,43 weeks,intramuscular,secondary,real_world,0.946,CLINICAL_TRIALS
DRUG_TREATS_00251,DrugTreats,DRUG_00294,DISEASE_00064,0.441,mild,22mg,once_daily,22 weeks,intravenous,primary,Phase_II,0.906,CLINICAL_TRIALS
DRUG_TREATS_00252,DrugTreats,DRUG_00326,DISEASE_00046,0.439,severe,27mg,once_daily,2 weeks,intramuscular,primary,Phase_III,0.897,CLINICAL_TRIALS
DRUG_TREATS_00253,DrugTreats,DRUG_00345,DISEASE_00052,0.389,mild,237mg,once_daily,25 weeks,topical,off_label,real_world,0.913,CLINICAL_TRIALS
DRUG_TREATS_00254,DrugTreats,DRUG_00167,DISEASE_00080,0.345,mild,23mg,three_times_daily,9 weeks,intravenous,off_label,Phase_II,0.925,CLINICAL_TRIALS
DRUG_TREATS_00255,DrugTreats,DRUG_00184,DISEASE_00146,0.511,severe,15mg,twice_daily,4 weeks,topical,off_label,Phase_II,0.722,CLINICAL_TRIALS
DRUG_TREATS_00256,DrugTreats,DRUG_00410,DISEASE_00146,0.57,moderate,117mg,once_daily,30 weeks,intravenous,secondary,Phase_II,0.961,CLINICAL_TRIALS
DRUG_TREATS_00257,DrugTreats,DRUG_00178,DISEASE_00048,0.881,mild,381mg,once_daily,52 weeks,topical,secondary,case_study,0.925,CLINICAL_TRIALS
DRUG_TREATS_00258,DrugTreats,DRUG_00142,DISEASE_00054,0.661,moderate,119mg,twice_daily,51 weeks,topical,primary,real_world,0.85,CLINICAL_TRIALS
DRUG_TREATS_00259,DrugTreats,DRUG_00476,DISEASE_00105,0.77,severe,496mg,three_times_daily,17 weeks,topical,secondary,Phase_II,0.74,CLINICAL_TRIALS
DRUG_TREATS_00260,DrugTreats,DRUG_00250,DISEASE_00064,0.63,severe,455mg,three_times_daily,26 weeks,intramuscular,off_label,Phase_III,0.979,CLINICAL_TRIALS
DRUG_TREATS_00261,DrugTreats,DRUG_00162,DISEASE_00103,0.704,moderate,452mg,once_daily,26 weeks,oral,off_label,Phase_II,0.883,CLINICAL_TRIALS
DRUG_TREATS_00262,DrugTreats,DRUG_00046,DISEASE_00124,0.881,moderate,312mg,as_needed,48 weeks,intravenous,secondary,case_study,0.852,CLINICAL_TRIALS
DRUG_TREATS_00263,DrugTreats,DRUG_00160,DISEASE_00060,0.864,moderate,389mg,twice_daily,11 weeks,intravenous,secondary,Phase_II,0.936,CLINICAL_TRIALS
DRUG_TREATS_00264,DrugTreats,DRUG_00330,DISEASE_00139,0.64,severe,331mg,twice_daily,13 weeks,intravenous,secondary,Phase_III,0.753,CLINICAL_TRIALS
DRUG_TREATS_00265,DrugTreats,DRUG_00172,DISEASE_00041,0.526,severe,223mg,three_times_daily,19 weeks,oral,off_label,case_study,0.706,CLINICAL_TRIALS
DRUG_TREATS_00266,DrugTreats,DRUG_00022,DISEASE_00056,0.377,severe,240mg,twice_daily,31 weeks,topical,off_label,case_study,0.938,CLINICAL_TRIALS
DRUG_TREATS_00267,DrugTreats,DRUG_00048,DISEASE_00116,0.659,moderate,219mg,three_times_daily,3 weeks,intramuscular,off_label,Phase_II,0.781,CLINICAL_TRIALS
DRUG_TREATS_00268,DrugTreats,DRUG_00058,DISEASE_00002,0.853,severe,496mg,once_daily,34 weeks,topical,secondary,Phase_III,0.92,CLINICAL_TRIALS
DRUG_TREATS_00269,DrugTreats,DRUG_00490,DISEASE_00107,0.6,moderate,184mg,as_needed,1 weeks,topical,secondary,real_world,0.896,CLINICAL_TRIALS
DRUG_TREATS_00270,DrugTreats,DRUG_00283,DISEASE_00041,0.387,severe,8mg,once_daily,12 weeks,intravenous,secondary,Phase_II,0.829,CLINICAL_TRIALS
DRUG_TREATS_00271,DrugTreats,DRUG_00108,DISEASE_00140,0.575,mild,452mg,three_times_daily,49 weeks,oral,off_label,Phase_III,0.853,CLINICAL_TRIALS
DRUG_TREATS_00272,DrugTreats,DRUG_00243,DISEASE_00055,0.605,moderate,288mg,twice_daily,47 weeks,intravenous,primary,Phase_II,0.763,CLINICAL_TRIALS
DRUG_TREATS_00273,DrugTreats,DRUG_00473,DISEASE_00008,0.337,mild,295mg,as_needed,26 weeks,intravenous,primary,Phase_III,0.944,CLINICAL_TRIALS
DRUG_TREATS_00274,DrugTreats,DRUG_00029,DISEASE_00126,0.421,mild,296mg,three_times_daily,28 weeks,topical,primary,case_study,0.968,CLINICAL_TRIALS
DRUG_TREATS_00275,DrugTreats,DRUG_00325,DISEASE_00002,0.638,severe,377mg,twice_daily,23 weeks,oral,primary,Phase_II,0.832,CLINICAL_TRIALS
DRUG_TREATS_00276,DrugTreats,DRUG_00479,DISEASE_00093,0.389,severe,222mg,as_needed,18 weeks,intramuscular,primary,Phase_II,0.827,CLINICAL_TRIALS
DRUG_TREATS_00277,DrugTreats,DRUG_00299,DISEASE_00078,0.338,moderate,5mg,once_daily,17 weeks,topical,primary,real_world,0.736,CLINICAL_TRIALS
DRUG_TREATS_00278,DrugTreats,DRUG_00388,DISEASE_00050,0.852,severe,404mg,twice_daily,28 weeks,intravenous,off_label,real_world,0.757,CLINICAL_TRIALS
DRUG_TREATS_00279,DrugTreats,DRUG_00203,DISEASE_00026,0.481,severe,472mg,three_times_daily,6 weeks,oral,secondary,Phase_III,0.79,CLINICAL_TRIALS
DRUG_TREATS_00280,DrugTreats,DRUG_00473,DISEASE_00074,0.71,moderate,63mg,three_times_daily,32 weeks,oral,secondary,Phase_II,0.963,CLINICAL_TRIALS
DRUG_TREATS_00281,DrugTreats,DRUG_00129,DISEASE_00063,0.485,moderate,223mg,once_daily,44 weeks,intramuscular,off_label,Phase_III,0.755,CLINICAL_TRIALS
DRUG_TREATS_00282,DrugTreats,DRUG_00389,DISEASE_00013,0.453,moderate,23mg,as_needed,7 weeks,topical,off_label,Phase_III,0.89,CLINICAL_TRIALS
DRUG_TREATS_00283,DrugTreats,DRUG_00300,DISEASE_00043,0.727,moderate,500mg,twice_daily,45 weeks,intramuscular,off_label,case_study,0.834,CLINICAL_TRIALS
DRUG_TREATS_00284,DrugTreats,DRUG_00079,DISEASE_00122,0.631,moderate,429mg,as_needed,32 weeks,intravenous,primary,real_world,0.819,CLINICAL_TRIALS
DRUG_TREATS_00285,DrugTreats,DRUG_00114,DISEASE_00013,0.566,mild,221mg,as_needed,5 weeks,oral,secondary,Phase_II,0.942,CLINICAL_TRIALS
DRUG_TREATS_00286,DrugTreats,DRUG_00351,DISEASE_00134,0.762,severe,366mg,once_daily,6 weeks,topical,primary,Phase_II,0.977,CLINICAL_TRIALS
DRUG_TREATS_00287,DrugTreats,DRUG_00194,DISEASE_00117,0.615,mild,428mg,twice_daily,32 weeks,topical,off_label,Phase_III,0.906,CLINICAL_TRIALS
DRUG_TREATS_00288,DrugTreats,DRUG_00356,DISEASE_00150,0.821,moderate,475mg,as_needed,50 weeks,oral,primary,Phase_III,0.852,CLINICAL_TRIALS
DRUG_TREATS_00289,DrugTreats,DRUG_00352,DISEASE_00064,0.468,moderate,20mg,as_needed,1 weeks,intravenous,secondary,real_world,0.853,CLINICAL_TRIALS
DRUG_TREATS_00290,DrugTreats,DRUG_00061,DISEASE_00124,0.424,severe,475mg,twice_daily,19 weeks,topical,secondary,case_study,0.716,CLINICAL_TRIALS
DRUG_TREATS_00291,DrugTreats,DRUG_00110,DISEASE_00081,0.634,moderate,251mg,three_times_daily,19 weeks,intramuscular,secondary,real_world,0.919,CLINICAL_TRIALS
DRUG_TREATS_00292,DrugTreats,DRUG_00219,DISEASE_00001,0.625,moderate,115mg,as_needed,50 weeks,topical,secondary,Phase_II,0.781,CLINICAL_TRIALS
DRUG_TREATS_00293,DrugTreats,DRUG_00039,DISEASE_00073,0.609,moderate,236mg,twice_daily,7 weeks,oral,primary,Phase_III,0.828,CLINICAL_TRIALS
DRUG_TREATS_00294,DrugTreats,DRUG_00258,DISEASE_00116,0.414,moderate,371mg,once_daily,13 weeks,intramuscular,off_label,Phase_III,0.72,CLINICAL_TRIALS
DRUG_TREATS_00295,DrugTreats,DRUG_00302,DISEASE_00014,0.756,severe,435mg,three_times_daily,7 weeks,oral,off_label,real_world,0.961,CLINICAL_TRIALS
DRUG_TREATS_00296,DrugTreats,DRUG_00034,DISEASE_00090,0.814,moderate,159mg,three_times_daily,33 weeks,oral,secondary,real_world,0.755,CLINICAL_TRIALS
DRUG_TREATS_00297,DrugTreats,DRUG_00483,DISEASE_00096,0.597,severe,9mg,once_daily,43 weeks,oral,secondary,Phase_II,0.878,CLINICAL_TRIALS
DRUG_TREATS_00298,DrugTreats,DRUG_00215,DISEASE_00087,0.647,severe,101mg,as_needed,47 weeks,intramuscular,primary,real_world,0.895,CLINICAL_TRIALS
DRUG_TREATS_00299,DrugTreats,DRUG_00129,DISEASE_00118,0.803,mild,92mg,twice_daily,47 weeks,intravenous,primary,Phase_III,0.902,CLINICAL_TRIALS
DRUG_TREATS_00300,DrugTreats,DRUG_00106,DISEASE_00037,0.926,mild,102mg,once_daily,20 weeks,intramuscular,primary,Phase_III,0.95,CLINICAL_TRIALS
