Id,Label,FromId,ToId,Properties:effect,Properties:strength,Properties:pValue,Properties:foldChange,Properties:regulation,Properties:timepoint,Properties:cellLine,Properties:confidence,Properties:source
COMPOUND_PATHWAY_00140,CompoundAffectsPathway,COMPOUND_00143,PATHWAY_00037,modulation,0.136,0.047214,2.96,mixed,20 hours,HEK293,0.742,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00141,CompoundAffectsPathway,COMPOUND_00182,PATHWAY_00052,modulation,0.653,0.024323,2.35,downregulation,35 hours,A549,0.66,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00142,CompoundAffectsPathway,COMPOUND_00189,PATHWAY_00091,activation,0.495,0.041514,1.36,mixed,51 hours,HEK293,0.652,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00143,CompoundAffectsPathway,COMPOUND_00240,PATHWAY_00079,activation,0.336,0.013914,1.53,downregulation,3 hours,HepG2,0.813,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00144,CompoundAffectsPathway,COMPOUND_00200,PATHWAY_00023,modulation,0.837,0.003653,0.73,downregulation,41 hours,HepG2,0.712,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00145,CompoundAffectsPathway,COMPOUND_00143,PATHWAY_00040,activation,0.718,0.027496,0.85,upregulation,24 hours,HepG2,0.798,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00146,CompoundAffectsPathway,COMPOUND_00027,PATHWAY_00044,activation,0.739,0.027748,1.41,downregulation,49 hours,HepG2,0.823,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00147,CompoundAffectsPathway,COMPOUND_00210,PATHWAY_00034,activation,0.173,0.026088,2.78,upregulation,12 hours,MCF7,0.814,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00148,CompoundAffectsPathway,COMPOUND_00264,PATHWAY_00078,activation,0.428,0.012095,1.71,downregulation,24 hours,HEK293,0.877,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00149,CompoundAffectsPathway,COMPOUND_00106,PATHWAY_00053,inhibition,0.238,0.029069,2.4,upregulation,67 hours,A549,0.76,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00150,CompoundAffectsPathway,COMPOUND_00042,PATHWAY_00021,inhibition,0.721,0.001121,2.11,upregulation,34 hours,A549,0.752,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00151,CompoundAffectsPathway,COMPOUND_00240,PATHWAY_00085,modulation,0.632,0.037968,1.96,mixed,13 hours,A549,0.742,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00152,CompoundAffectsPathway,COMPOUND_00190,PATHWAY_00099,activation,0.564,0.002307,1.45,downregulation,43 hours,HepG2,0.825,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00153,CompoundAffectsPathway,COMPOUND_00277,PATHWAY_00080,inhibition,0.983,0.035397,1.32,upregulation,53 hours,MCF7,0.829,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00154,CompoundAffectsPathway,COMPOUND_00213,PATHWAY_00083,activation,0.183,0.043201,2.26,mixed,27 hours,HepG2,0.842,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00155,CompoundAffectsPathway,COMPOUND_00257,PATHWAY_00040,activation,0.897,0.038421,0.76,upregulation,42 hours,HepG2,0.702,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00156,CompoundAffectsPathway,COMPOUND_00129,PATHWAY_00071,modulation,0.803,0.019306,0.61,mixed,13 hours,HEK293,0.701,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00157,CompoundAffectsPathway,COMPOUND_00207,PATHWAY_00055,modulation,0.481,0.035113,1.71,upregulation,25 hours,A549,0.876,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00158,CompoundAffectsPathway,COMPOUND_00133,PATHWAY_00083,inhibition,0.225,0.024408,0.77,downregulation,72 hours,HepG2,0.809,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00159,CompoundAffectsPathway,COMPOUND_00296,PATHWAY_00014,activation,0.199,0.015647,2.98,upregulation,41 hours,MCF7,0.847,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00160,CompoundAffectsPathway,COMPOUND_00118,PATHWAY_00100,activation,0.659,0.042333,1.13,upregulation,25 hours,HEK293,0.806,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00161,CompoundAffectsPathway,COMPOUND_00217,PATHWAY_00010,activation,0.845,0.022613,0.61,mixed,65 hours,A549,0.795,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00162,CompoundAffectsPathway,COMPOUND_00026,PATHWAY_00006,inhibition,0.925,0.048288,1.76,downregulation,64 hours,HEK293,0.85,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00163,CompoundAffectsPathway,COMPOUND_00268,PATHWAY_00046,activation,0.512,0.002108,2.44,mixed,58 hours,MCF7,0.847,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00164,CompoundAffectsPathway,COMPOUND_00136,PATHWAY_00021,inhibition,0.525,0.039081,2.67,mixed,8 hours,A549,0.699,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00165,CompoundAffectsPathway,COMPOUND_00149,PATHWAY_00064,activation,0.76,0.020134,2.7,upregulation,30 hours,HEK293,0.682,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00166,CompoundAffectsPathway,COMPOUND_00128,PATHWAY_00078,inhibition,0.163,0.031478,1.63,mixed,58 hours,HepG2,0.674,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00167,CompoundAffectsPathway,COMPOUND_00282,PATHWAY_00091,modulation,0.606,0.018962,2.28,downregulation,52 hours,MCF7,0.789,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00168,CompoundAffectsPathway,COMPOUND_00274,PATHWAY_00039,modulation,0.722,0.022817,2.41,upregulation,50 hours,A549,0.877,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00169,CompoundAffectsPathway,COMPOUND_00298,PATHWAY_00099,activation,0.952,0.005132,1.97,mixed,39 hours,A549,0.667,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00170,CompoundAffectsPathway,COMPOUND_00027,PATHWAY_00045,modulation,0.955,0.02193,0.77,mixed,11 hours,A549,0.7,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00171,CompoundAffectsPathway,COMPOUND_00119,PATHWAY_00043,inhibition,0.536,0.02129,2.65,mixed,34 hours,HEK293,0.757,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00172,CompoundAffectsPathway,COMPOUND_00185,PATHWAY_00097,activation,0.501,0.009374,1.52,upregulation,69 hours,MCF7,0.873,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00173,CompoundAffectsPathway,COMPOUND_00081,PATHWAY_00036,activation,0.22,0.012244,0.55,mixed,43 hours,HepG2,0.864,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00174,CompoundAffectsPathway,COMPOUND_00031,PATHWAY_00049,modulation,0.767,0.011127,0.81,upregulation,1 hours,HepG2,0.866,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00175,CompoundAffectsPathway,COMPOUND_00286,PATHWAY_00069,inhibition,0.157,0.03403,2.92,mixed,42 hours,HepG2,0.769,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00176,CompoundAffectsPathway,COMPOUND_00267,PATHWAY_00083,activation,0.248,0.01001,2.26,downregulation,61 hours,MCF7,0.886,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00177,CompoundAffectsPathway,COMPOUND_00059,PATHWAY_00044,inhibition,0.527,0.030265,1.85,downregulation,33 hours,MCF7,0.697,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00178,CompoundAffectsPathway,COMPOUND_00129,PATHWAY_00071,activation,0.162,0.007361,2.13,downregulation,39 hours,MCF7,0.852,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00179,CompoundAffectsPathway,COMPOUND_00067,PATHWAY_00068,inhibition,0.694,0.03528,1.69,upregulation,18 hours,HEK293,0.815,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00180,CompoundAffectsPathway,COMPOUND_00044,PATHWAY_00080,activation,0.213,0.033729,2.74,downregulation,19 hours,A549,0.695,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00181,CompoundAffectsPathway,COMPOUND_00280,PATHWAY_00049,inhibition,0.605,0.014977,0.83,downregulation,5 hours,MCF7,0.666,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00182,CompoundAffectsPathway,COMPOUND_00257,PATHWAY_00049,activation,0.404,0.046053,0.98,mixed,7 hours,HEK293,0.827,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00183,CompoundAffectsPathway,COMPOUND_00007,PATHWAY_00005,inhibition,0.446,0.036849,1.36,downregulation,45 hours,HEK293,0.686,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00184,CompoundAffectsPathway,COMPOUND_00169,PATHWAY_00087,activation,0.288,0.001263,2.41,downregulation,28 hours,A549,0.851,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00185,CompoundAffectsPathway,COMPOUND_00118,PATHWAY_00005,inhibition,0.29,0.039476,1.45,downregulation,54 hours,HepG2,0.845,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00186,CompoundAffectsPathway,COMPOUND_00085,PATHWAY_00060,inhibition,0.607,0.026236,0.54,upregulation,70 hours,HEK293,0.672,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00187,CompoundAffectsPathway,COMPOUND_00233,PATHWAY_00070,activation,0.406,0.012755,0.98,mixed,23 hours,MCF7,0.755,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00188,CompoundAffectsPathway,COMPOUND_00034,PATHWAY_00086,activation,0.412,0.023771,2.91,mixed,8 hours,MCF7,0.655,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00189,CompoundAffectsPathway,COMPOUND_00144,PATHWAY_00092,modulation,0.853,0.005476,0.8,upregulation,31 hours,MCF7,0.851,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00190,CompoundAffectsPathway,COMPOUND_00163,PATHWAY_00079,inhibition,0.587,0.027701,0.9,mixed,58 hours,HEK293,0.757,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00191,CompoundAffectsPathway,COMPOUND_00165,PATHWAY_00022,activation,0.675,0.003759,1.59,downregulation,60 hours,HEK293,0.842,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00192,CompoundAffectsPathway,COMPOUND_00061,PATHWAY_00069,modulation,0.837,0.028715,2.52,downregulation,43 hours,HEK293,0.844,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00193,CompoundAffectsPathway,COMPOUND_00123,PATHWAY_00066,activation,0.677,0.02483,0.75,upregulation,25 hours,HEK293,0.813,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00194,CompoundAffectsPathway,COMPOUND_00243,PATHWAY_00002,activation,0.345,0.005898,0.87,downregulation,18 hours,MCF7,0.752,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00195,CompoundAffectsPathway,COMPOUND_00202,PATHWAY_00028,inhibition,0.486,0.037082,1.78,mixed,48 hours,MCF7,0.767,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00196,CompoundAffectsPathway,COMPOUND_00116,PATHWAY_00073,inhibition,0.702,0.014484,2.23,mixed,60 hours,HEK293,0.818,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00197,CompoundAffectsPathway,COMPOUND_00284,PATHWAY_00081,modulation,0.206,0.025999,2.68,upregulation,71 hours,A549,0.756,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00198,CompoundAffectsPathway,COMPOUND_00031,PATHWAY_00062,activation,0.678,0.037544,2.43,upregulation,29 hours,A549,0.847,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00199,CompoundAffectsPathway,COMPOUND_00215,PATHWAY_00098,inhibition,0.199,0.037474,0.5,mixed,48 hours,A549,0.728,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00200,CompoundAffectsPathway,COMPOUND_00125,PATHWAY_00047,modulation,0.838,0.02089,1.44,upregulation,16 hours,HEK293,0.897,PATHWAY_ANALYSIS
