Id,Label,FromId,ToId,Properties:affinity,Properties:ic50,Properties:ki,Properties:mechanism,Properties:evidence,Properties:assayType,Properties:species,Properties:confidence,Properties:source
DRUG_TARGET_00186,DrugTargets,DRUG_00491,TARGET_00198,4.948,42.483497,43.278834,inhibition,experimental,biochemical,human,0.858,CHEMBL
DRUG_TARGET_00187,DrugTargets,DRUG_00397,TARGET_00035,4.942,62.19833,13.229128,modulation,computational,biochemical,human,0.872,CHEMBL
DRUG_TARGET_00188,DrugTargets,DRUG_00226,TARGET_00152,1.991,50.90991,43.993876,activation,computational,tissue,human,0.744,CHEMBL
DRUG_TARGET_00189,DrugTargets,DRUG_00188,TARGET_00139,5.297,43.207316,14.981532,activation,literature,biochemical,human,0.604,CHEMBL
DRUG_TARGET_00190,DrugTargets,DRUG_00045,TARGET_00108,1.723,43.138587,1.258043,modulation,computational,tissue,human,0.648,CHEMBL
DRUG_TARGET_00191,DrugTargets,DRUG_00077,TARGET_00141,6.386,91.737902,46.936095,modulation,literature,cellular,human,0.787,CHEMBL
DRUG_TARGET_00192,DrugTargets,DRUG_00494,TARGET_00039,7.358,99.777081,49.865671,activation,computational,biochemical,human,0.906,CHEMBL
DRUG_TARGET_00193,DrugTargets,DRUG_00102,TARGET_00085,1.205,4.424828,18.11169,binding,literature,cellular,human,0.777,CHEMBL
DRUG_TARGET_00194,DrugTargets,DRUG_00258,TARGET_00012,3.936,59.022524,30.877084,modulation,literature,biochemical,human,0.64,CHEMBL
DRUG_TARGET_00195,DrugTargets,DRUG_00153,TARGET_00179,6.753,62.326255,6.977083,modulation,experimental,biochemical,human,0.903,CHEMBL
DRUG_TARGET_00196,DrugTargets,DRUG_00138,TARGET_00031,6.408,13.758229,19.562747,activation,computational,tissue,human,0.834,CHEMBL
DRUG_TARGET_00197,DrugTargets,DRUG_00280,TARGET_00155,6.868,60.237064,20.23475,modulation,experimental,cellular,human,0.827,CHEMBL
DRUG_TARGET_00198,DrugTargets,DRUG_00242,TARGET_00078,5.93,27.135302,19.946816,modulation,literature,tissue,human,0.892,CHEMBL
DRUG_TARGET_00199,DrugTargets,DRUG_00306,TARGET_00152,3.271,51.811243,0.310525,binding,experimental,tissue,human,0.817,CHEMBL
DRUG_TARGET_00200,DrugTargets,DRUG_00139,TARGET_00145,6.003,80.50144,8.462398,inhibition,literature,biochemical,human,0.773,CHEMBL
DRUG_TARGET_00201,DrugTargets,DRUG_00181,TARGET_00028,2.872,49.631538,8.276,activation,computational,cellular,human,0.689,CHEMBL
DRUG_TARGET_00202,DrugTargets,DRUG_00079,TARGET_00020,0.661,38.715487,41.257657,binding,literature,cellular,human,0.639,CHEMBL
DRUG_TARGET_00203,DrugTargets,DRUG_00161,TARGET_00005,3.698,76.756827,30.396605,inhibition,literature,cellular,human,0.62,CHEMBL
DRUG_TARGET_00204,DrugTargets,DRUG_00279,TARGET_00078,9.265,7.44829,47.335588,inhibition,literature,cellular,human,0.727,CHEMBL
DRUG_TARGET_00205,DrugTargets,DRUG_00333,TARGET_00116,7.228,2.567392,36.448994,modulation,computational,tissue,human,0.804,CHEMBL
DRUG_TARGET_00206,DrugTargets,DRUG_00134,TARGET_00006,7.77,90.083436,10.886542,modulation,computational,cellular,human,0.608,CHEMBL
DRUG_TARGET_00207,DrugTargets,DRUG_00321,TARGET_00200,9.383,9.20561,35.575455,modulation,experimental,biochemical,human,0.684,CHEMBL
DRUG_TARGET_00208,DrugTargets,DRUG_00185,TARGET_00006,5.438,93.445684,5.311365,binding,computational,tissue,human,0.838,CHEMBL
DRUG_TARGET_00209,DrugTargets,DRUG_00314,TARGET_00128,2.446,98.887763,6.331266,binding,experimental,cellular,human,0.628,CHEMBL
DRUG_TARGET_00210,DrugTargets,DRUG_00252,TARGET_00172,7.445,53.537302,17.532745,inhibition,literature,biochemical,human,0.726,CHEMBL
DRUG_TARGET_00211,DrugTargets,DRUG_00411,TARGET_00026,2.939,93.9699,42.580133,modulation,computational,biochemical,human,0.737,CHEMBL
DRUG_TARGET_00212,DrugTargets,DRUG_00054,TARGET_00074,6.413,20.987434,43.220833,modulation,computational,biochemical,human,0.699,CHEMBL
DRUG_TARGET_00213,DrugTargets,DRUG_00380,TARGET_00174,4.203,20.91242,40.859238,binding,literature,tissue,human,0.819,CHEMBL
DRUG_TARGET_00214,DrugTargets,DRUG_00297,TARGET_00110,0.427,33.50317,16.09823,inhibition,experimental,biochemical,human,0.818,CHEMBL
DRUG_TARGET_00215,DrugTargets,DRUG_00327,TARGET_00035,0.231,1.463033,46.351032,modulation,literature,cellular,human,0.735,CHEMBL
DRUG_TARGET_00216,DrugTargets,DRUG_00140,TARGET_00155,8.87,20.844634,22.845427,inhibition,computational,biochemical,human,0.893,CHEMBL
DRUG_TARGET_00217,DrugTargets,DRUG_00377,TARGET_00002,9.121,14.60586,7.465568,inhibition,experimental,cellular,human,0.767,CHEMBL
DRUG_TARGET_00218,DrugTargets,DRUG_00263,TARGET_00112,7.898,99.204855,41.085387,activation,computational,biochemical,human,0.865,CHEMBL
DRUG_TARGET_00219,DrugTargets,DRUG_00211,TARGET_00160,3.936,60.941244,13.365013,inhibition,experimental,tissue,human,0.722,CHEMBL
DRUG_TARGET_00220,DrugTargets,DRUG_00334,TARGET_00022,2.085,49.443612,3.926188,binding,literature,biochemical,human,0.892,CHEMBL
DRUG_TARGET_00221,DrugTargets,DRUG_00243,TARGET_00161,1.635,74.964409,5.485142,activation,experimental,cellular,human,0.697,CHEMBL
DRUG_TARGET_00222,DrugTargets,DRUG_00283,TARGET_00141,3.487,16.26296,12.40365,binding,computational,tissue,human,0.763,CHEMBL
DRUG_TARGET_00223,DrugTargets,DRUG_00367,TARGET_00062,7.21,61.296331,22.503683,inhibition,literature,tissue,human,0.835,CHEMBL
DRUG_TARGET_00224,DrugTargets,DRUG_00391,TARGET_00138,9.612,92.959067,3.12095,activation,computational,cellular,human,0.791,CHEMBL
DRUG_TARGET_00225,DrugTargets,DRUG_00300,TARGET_00162,8.681,65.079458,13.135313,activation,computational,tissue,human,0.707,CHEMBL
DRUG_TARGET_00226,DrugTargets,DRUG_00173,TARGET_00101,1.209,52.579587,40.791083,activation,literature,cellular,human,0.665,CHEMBL
DRUG_TARGET_00227,DrugTargets,DRUG_00443,TARGET_00194,3.418,3.618303,43.963271,modulation,computational,biochemical,human,0.866,CHEMBL
DRUG_TARGET_00228,DrugTargets,DRUG_00260,TARGET_00113,1.516,1.378527,13.23264,activation,experimental,biochemical,human,0.933,CHEMBL
DRUG_TARGET_00229,DrugTargets,DRUG_00327,TARGET_00091,6.278,84.151161,47.490825,modulation,literature,biochemical,human,0.842,CHEMBL
DRUG_TARGET_00230,DrugTargets,DRUG_00276,TARGET_00181,5.647,39.905574,49.891789,activation,literature,tissue,human,0.622,CHEMBL
DRUG_TARGET_00231,DrugTargets,DRUG_00070,TARGET_00190,7.792,81.45156,4.052588,activation,literature,tissue,human,0.606,CHEMBL
DRUG_TARGET_00232,DrugTargets,DRUG_00220,TARGET_00110,3.131,65.553283,38.106786,inhibition,computational,cellular,human,0.764,CHEMBL
DRUG_TARGET_00233,DrugTargets,DRUG_00168,TARGET_00184,8.332,54.844799,46.251038,modulation,experimental,cellular,human,0.92,CHEMBL
DRUG_TARGET_00234,DrugTargets,DRUG_00031,TARGET_00062,6.084,4.756318,15.834197,modulation,experimental,cellular,human,0.931,CHEMBL
DRUG_TARGET_00235,DrugTargets,DRUG_00144,TARGET_00169,5.446,19.459933,22.593171,modulation,literature,biochemical,human,0.604,CHEMBL
DRUG_TARGET_00236,DrugTargets,DRUG_00014,TARGET_00132,0.693,40.330342,17.87089,modulation,literature,biochemical,human,0.779,CHEMBL
DRUG_TARGET_00237,DrugTargets,DRUG_00206,TARGET_00193,0.373,50.182615,48.678659,modulation,literature,cellular,human,0.735,CHEMBL
DRUG_TARGET_00238,DrugTargets,DRUG_00264,TARGET_00077,6.047,66.459415,23.360087,modulation,computational,cellular,human,0.701,CHEMBL
DRUG_TARGET_00239,DrugTargets,DRUG_00234,TARGET_00056,2.676,90.236584,31.922347,activation,computational,cellular,human,0.757,CHEMBL
DRUG_TARGET_00240,DrugTargets,DRUG_00093,TARGET_00054,5.874,87.471914,15.550321,activation,literature,biochemical,human,0.611,CHEMBL
DRUG_TARGET_00241,DrugTargets,DRUG_00385,TARGET_00116,9.138,51.882344,37.820881,activation,literature,cellular,human,0.892,CHEMBL
DRUG_TARGET_00242,DrugTargets,DRUG_00164,TARGET_00127,7.019,85.691406,41.782939,activation,computational,cellular,human,0.638,CHEMBL
DRUG_TARGET_00243,DrugTargets,DRUG_00461,TARGET_00047,1.788,41.829869,36.955361,activation,experimental,tissue,human,0.649,CHEMBL
DRUG_TARGET_00244,DrugTargets,DRUG_00087,TARGET_00117,4.005,32.447062,18.295788,inhibition,computational,cellular,human,0.709,CHEMBL
DRUG_TARGET_00245,DrugTargets,DRUG_00464,TARGET_00109,2.805,60.21542,49.446307,activation,literature,biochemical,human,0.623,CHEMBL
DRUG_TARGET_00246,DrugTargets,DRUG_00131,TARGET_00025,1.229,33.104326,32.114079,binding,literature,tissue,human,0.611,CHEMBL
DRUG_TARGET_00247,DrugTargets,DRUG_00025,TARGET_00164,5.768,43.202556,33.173116,inhibition,literature,biochemical,human,0.898,CHEMBL
DRUG_TARGET_00248,DrugTargets,DRUG_00175,TARGET_00114,1.071,44.342664,6.01197,modulation,literature,biochemical,human,0.894,CHEMBL
DRUG_TARGET_00249,DrugTargets,DRUG_00428,TARGET_00170,1.707,86.304258,23.841035,inhibition,literature,tissue,human,0.871,CHEMBL
DRUG_TARGET_00250,DrugTargets,DRUG_00256,TARGET_00143,9.713,46.395744,22.341133,activation,literature,cellular,human,0.736,CHEMBL
DRUG_TARGET_00251,DrugTargets,DRUG_00061,TARGET_00104,1.898,68.212329,46.124754,inhibition,computational,cellular,human,0.612,CHEMBL
DRUG_TARGET_00252,DrugTargets,DRUG_00310,TARGET_00110,8.926,91.827446,37.899816,binding,computational,biochemical,human,0.737,CHEMBL
DRUG_TARGET_00253,DrugTargets,DRUG_00454,TARGET_00158,0.184,10.906734,34.040268,modulation,experimental,tissue,human,0.754,CHEMBL
DRUG_TARGET_00254,DrugTargets,DRUG_00245,TARGET_00044,0.741,77.186528,8.732521,modulation,experimental,cellular,human,0.697,CHEMBL
DRUG_TARGET_00255,DrugTargets,DRUG_00234,TARGET_00128,5.936,64.64609,28.144127,binding,computational,cellular,human,0.916,CHEMBL
DRUG_TARGET_00256,DrugTargets,DRUG_00132,TARGET_00028,8.835,67.586016,42.372858,inhibition,computational,biochemical,human,0.816,CHEMBL
DRUG_TARGET_00257,DrugTargets,DRUG_00152,TARGET_00081,0.964,72.037766,2.819649,modulation,computational,cellular,human,0.859,CHEMBL
DRUG_TARGET_00258,DrugTargets,DRUG_00315,TARGET_00015,7.49,72.712347,0.268128,activation,literature,biochemical,human,0.864,CHEMBL
DRUG_TARGET_00259,DrugTargets,DRUG_00033,TARGET_00183,6.102,41.348943,31.447375,modulation,literature,tissue,human,0.669,CHEMBL
DRUG_TARGET_00260,DrugTargets,DRUG_00452,TARGET_00047,0.863,78.05345,23.399312,activation,computational,tissue,human,0.751,CHEMBL
DRUG_TARGET_00261,DrugTargets,DRUG_00208,TARGET_00074,0.822,29.539129,39.159081,activation,experimental,biochemical,human,0.822,CHEMBL
DRUG_TARGET_00262,DrugTargets,DRUG_00087,TARGET_00151,3.562,6.719335,47.112577,binding,literature,biochemical,human,0.647,CHEMBL
DRUG_TARGET_00263,DrugTargets,DRUG_00382,TARGET_00014,5.332,67.848095,25.10834,binding,experimental,cellular,human,0.692,CHEMBL
DRUG_TARGET_00264,DrugTargets,DRUG_00318,TARGET_00044,5.356,14.942636,20.788472,inhibition,computational,biochemical,human,0.767,CHEMBL
DRUG_TARGET_00265,DrugTargets,DRUG_00227,TARGET_00059,8.19,4.894346,20.973482,inhibition,computational,cellular,human,0.847,CHEMBL
DRUG_TARGET_00266,DrugTargets,DRUG_00271,TARGET_00192,9.051,41.700889,12.997902,activation,computational,cellular,human,0.947,CHEMBL
DRUG_TARGET_00267,DrugTargets,DRUG_00053,TARGET_00126,9.885,76.644861,42.095424,binding,computational,cellular,human,0.867,CHEMBL
DRUG_TARGET_00268,DrugTargets,DRUG_00248,TARGET_00022,1.318,36.92861,34.605471,activation,literature,tissue,human,0.853,CHEMBL
DRUG_TARGET_00269,DrugTargets,DRUG_00067,TARGET_00200,9.35,79.807445,49.125968,inhibition,computational,biochemical,human,0.658,CHEMBL
DRUG_TARGET_00270,DrugTargets,DRUG_00477,TARGET_00129,3.009,99.541604,1.97639,modulation,experimental,biochemical,human,0.81,CHEMBL
DRUG_TARGET_00271,DrugTargets,DRUG_00255,TARGET_00180,3.016,72.102371,48.711489,binding,literature,biochemical,human,0.724,CHEMBL
DRUG_TARGET_00272,DrugTargets,DRUG_00011,TARGET_00092,0.651,90.607348,23.603717,activation,computational,tissue,human,0.639,CHEMBL
DRUG_TARGET_00273,DrugTargets,DRUG_00194,TARGET_00183,5.77,85.205159,22.503627,activation,literature,tissue,human,0.728,CHEMBL
DRUG_TARGET_00274,DrugTargets,DRUG_00380,TARGET_00174,8.091,19.123813,23.076369,modulation,computational,cellular,human,0.624,CHEMBL
DRUG_TARGET_00275,DrugTargets,DRUG_00431,TARGET_00122,3.557,25.662523,13.393542,inhibition,computational,tissue,human,0.775,CHEMBL
DRUG_TARGET_00276,DrugTargets,DRUG_00331,TARGET_00127,1.39,99.581536,34.770907,binding,experimental,biochemical,human,0.666,CHEMBL
DRUG_TARGET_00277,DrugTargets,DRUG_00034,TARGET_00045,1.86,52.257661,39.746839,modulation,literature,tissue,human,0.885,CHEMBL
DRUG_TARGET_00278,DrugTargets,DRUG_00145,TARGET_00116,1.548,44.241969,22.728956,binding,experimental,cellular,human,0.881,CHEMBL
DRUG_TARGET_00279,DrugTargets,DRUG_00477,TARGET_00127,4.274,31.308274,38.156094,inhibition,experimental,cellular,human,0.625,CHEMBL
DRUG_TARGET_00280,DrugTargets,DRUG_00089,TARGET_00083,5.546,61.54435,0.651619,binding,experimental,cellular,human,0.85,CHEMBL
DRUG_TARGET_00281,DrugTargets,DRUG_00070,TARGET_00194,4.914,84.948543,34.067919,binding,literature,biochemical,human,0.758,CHEMBL
DRUG_TARGET_00282,DrugTargets,DRUG_00401,TARGET_00097,4.204,91.739247,25.765306,modulation,experimental,tissue,human,0.639,CHEMBL
DRUG_TARGET_00283,DrugTargets,DRUG_00455,TARGET_00004,5.755,16.333744,41.004079,inhibition,experimental,biochemical,human,0.644,CHEMBL
DRUG_TARGET_00284,DrugTargets,DRUG_00417,TARGET_00056,8.323,79.842248,19.886636,modulation,computational,biochemical,human,0.757,CHEMBL
DRUG_TARGET_00285,DrugTargets,DRUG_00133,TARGET_00174,2.824,11.555435,2.115038,binding,experimental,cellular,human,0.76,CHEMBL
DRUG_TARGET_00286,DrugTargets,DRUG_00256,TARGET_00011,9.644,26.800497,46.588682,inhibition,experimental,biochemical,human,0.929,CHEMBL
DRUG_TARGET_00287,DrugTargets,DRUG_00145,TARGET_00088,4.067,0.272473,21.797361,modulation,computational,cellular,human,0.781,CHEMBL
DRUG_TARGET_00288,DrugTargets,DRUG_00358,TARGET_00058,4.44,41.913472,6.496129,binding,computational,tissue,human,0.643,CHEMBL
DRUG_TARGET_00289,DrugTargets,DRUG_00115,TARGET_00047,8.496,51.100909,42.740655,activation,literature,biochemical,human,0.636,CHEMBL
DRUG_TARGET_00290,DrugTargets,DRUG_00060,TARGET_00050,7.703,56.091033,19.170402,activation,literature,biochemical,human,0.761,CHEMBL
DRUG_TARGET_00291,DrugTargets,DRUG_00340,TARGET_00141,4.732,34.407318,2.374049,modulation,computational,tissue,human,0.65,CHEMBL
DRUG_TARGET_00292,DrugTargets,DRUG_00216,TARGET_00115,9.802,39.962534,5.496204,modulation,experimental,tissue,human,0.681,CHEMBL
DRUG_TARGET_00293,DrugTargets,DRUG_00135,TARGET_00050,3.31,37.262792,48.565888,inhibition,experimental,biochemical,human,0.618,CHEMBL
DRUG_TARGET_00294,DrugTargets,DRUG_00377,TARGET_00065,7.157,7.793423,40.973029,inhibition,computational,tissue,human,0.615,CHEMBL
DRUG_TARGET_00295,DrugTargets,DRUG_00391,TARGET_00100,8.132,0.340649,15.94337,activation,computational,tissue,human,0.865,CHEMBL
DRUG_TARGET_00296,DrugTargets,DRUG_00244,TARGET_00125,7.217,83.795598,40.300274,modulation,literature,cellular,human,0.946,CHEMBL
DRUG_TARGET_00297,DrugTargets,DRUG_00149,TARGET_00180,3.414,48.131481,12.110838,binding,experimental,cellular,human,0.63,CHEMBL
DRUG_TARGET_00298,DrugTargets,DRUG_00240,TARGET_00079,5.562,49.206103,35.847989,activation,literature,biochemical,human,0.823,CHEMBL
DRUG_TARGET_00299,DrugTargets,DRUG_00474,TARGET_00019,6.141,99.225545,9.177354,modulation,literature,tissue,human,0.778,CHEMBL
DRUG_TARGET_00300,DrugTargets,DRUG_00333,TARGET_00180,4.104,23.28966,9.817021,activation,literature,biochemical,human,0.949,CHEMBL
DRUG_TARGET_00301,DrugTargets,DRUG_00263,TARGET_00041,3.041,17.963673,46.812612,binding,literature,biochemical,human,0.821,CHEMBL
DRUG_TARGET_00302,DrugTargets,DRUG_00461,TARGET_00075,0.52,56.434403,20.644966,inhibition,literature,biochemical,human,0.851,CHEMBL
DRUG_TARGET_00303,DrugTargets,DRUG_00298,TARGET_00019,2.62,45.428377,31.812231,activation,literature,cellular,human,0.907,CHEMBL
DRUG_TARGET_00304,DrugTargets,DRUG_00035,TARGET_00059,4.865,54.989443,36.145499,modulation,literature,tissue,human,0.699,CHEMBL
DRUG_TARGET_00305,DrugTargets,DRUG_00439,TARGET_00149,3.327,91.961925,0.068557,binding,experimental,cellular,human,0.723,CHEMBL
DRUG_TARGET_00306,DrugTargets,DRUG_00122,TARGET_00184,1.313,68.807072,24.439888,activation,computational,tissue,human,0.784,CHEMBL
DRUG_TARGET_00307,DrugTargets,DRUG_00464,TARGET_00194,6.993,71.859976,2.47539,binding,computational,cellular,human,0.938,CHEMBL
DRUG_TARGET_00308,DrugTargets,DRUG_00469,TARGET_00047,5.604,62.557742,22.960336,inhibition,literature,biochemical,human,0.642,CHEMBL
DRUG_TARGET_00309,DrugTargets,DRUG_00064,TARGET_00110,2.202,14.191626,13.496841,binding,computational,tissue,human,0.705,CHEMBL
DRUG_TARGET_00310,DrugTargets,DRUG_00263,TARGET_00079,4.715,93.783169,48.73504,activation,experimental,tissue,human,0.921,CHEMBL
DRUG_TARGET_00311,DrugTargets,DRUG_00030,TARGET_00067,4.534,6.199412,37.018725,inhibition,literature,biochemical,human,0.859,CHEMBL
DRUG_TARGET_00312,DrugTargets,DRUG_00134,TARGET_00088,5.058,12.375051,26.809883,inhibition,computational,biochemical,human,0.655,CHEMBL
DRUG_TARGET_00313,DrugTargets,DRUG_00384,TARGET_00153,5.887,81.390445,15.537938,modulation,computational,biochemical,human,0.686,CHEMBL
DRUG_TARGET_00314,DrugTargets,DRUG_00323,TARGET_00116,4.718,68.696376,8.470928,binding,literature,cellular,human,0.763,CHEMBL
DRUG_TARGET_00315,DrugTargets,DRUG_00075,TARGET_00051,2.556,87.226739,20.793598,binding,computational,tissue,human,0.918,CHEMBL
DRUG_TARGET_00316,DrugTargets,DRUG_00299,TARGET_00023,8.054,85.514926,11.56686,inhibition,computational,cellular,human,0.733,CHEMBL
DRUG_TARGET_00317,DrugTargets,DRUG_00367,TARGET_00190,0.177,86.039913,1.827308,modulation,computational,tissue,human,0.764,CHEMBL
DRUG_TARGET_00318,DrugTargets,DRUG_00127,TARGET_00136,7.122,95.233595,39.102303,activation,computational,cellular,human,0.929,CHEMBL
DRUG_TARGET_00319,DrugTargets,DRUG_00369,TARGET_00152,6.275,80.87636,4.908695,inhibition,literature,biochemical,human,0.71,CHEMBL
DRUG_TARGET_00320,DrugTargets,DRUG_00402,TARGET_00129,9.755,95.15616,30.53987,activation,experimental,tissue,human,0.834,CHEMBL
DRUG_TARGET_00321,DrugTargets,DRUG_00130,TARGET_00040,6.858,7.70097,8.632579,activation,computational,tissue,human,0.685,CHEMBL
DRUG_TARGET_00322,DrugTargets,DRUG_00494,TARGET_00185,6.353,77.541395,12.175458,inhibition,experimental,cellular,human,0.704,CHEMBL
DRUG_TARGET_00323,DrugTargets,DRUG_00500,TARGET_00179,4.66,74.867473,38.00815,activation,literature,tissue,human,0.698,CHEMBL
DRUG_TARGET_00324,DrugTargets,DRUG_00035,TARGET_00154,1.43,81.657138,44.404896,binding,computational,tissue,human,0.872,CHEMBL
DRUG_TARGET_00325,DrugTargets,DRUG_00402,TARGET_00006,1.57,6.171701,3.729639,inhibition,computational,cellular,human,0.661,CHEMBL
DRUG_TARGET_00326,DrugTargets,DRUG_00001,TARGET_00084,9.655,7.439025,40.59065,activation,experimental,biochemical,human,0.67,CHEMBL
DRUG_TARGET_00327,DrugTargets,DRUG_00459,TARGET_00124,6.602,67.09148,27.677829,modulation,literature,tissue,human,0.862,CHEMBL
DRUG_TARGET_00328,DrugTargets,DRUG_00074,TARGET_00127,0.957,19.848171,15.507171,binding,experimental,tissue,human,0.889,CHEMBL
DRUG_TARGET_00329,DrugTargets,DRUG_00497,TARGET_00040,7.275,12.128232,6.182828,binding,experimental,cellular,human,0.698,CHEMBL
DRUG_TARGET_00330,DrugTargets,DRUG_00360,TARGET_00002,9.473,24.659416,29.30167,inhibition,computational,biochemical,human,0.672,CHEMBL
DRUG_TARGET_00331,DrugTargets,DRUG_00196,TARGET_00108,4.669,11.700937,31.544435,inhibition,computational,tissue,human,0.748,CHEMBL
DRUG_TARGET_00332,DrugTargets,DRUG_00327,TARGET_00127,5.015,46.62737,28.212434,binding,experimental,tissue,human,0.61,CHEMBL
DRUG_TARGET_00333,DrugTargets,DRUG_00282,TARGET_00083,9.583,14.691289,47.235797,activation,computational,tissue,human,0.607,CHEMBL
DRUG_TARGET_00334,DrugTargets,DRUG_00003,TARGET_00193,7.793,82.346873,13.057212,inhibition,experimental,biochemical,human,0.685,CHEMBL
DRUG_TARGET_00335,DrugTargets,DRUG_00174,TARGET_00183,8.132,68.69618,21.934302,activation,computational,biochemical,human,0.86,CHEMBL
DRUG_TARGET_00336,DrugTargets,DRUG_00211,TARGET_00004,3.74,4.542119,27.251091,inhibition,literature,tissue,human,0.764,CHEMBL
DRUG_TARGET_00337,DrugTargets,DRUG_00348,TARGET_00089,5.064,30.267653,29.185097,activation,computational,tissue,human,0.626,CHEMBL
DRUG_TARGET_00338,DrugTargets,DRUG_00076,TARGET_00157,9.633,65.285867,40.378027,inhibition,experimental,cellular,human,0.897,CHEMBL
DRUG_TARGET_00339,DrugTargets,DRUG_00213,TARGET_00182,1.911,77.095969,33.213722,inhibition,experimental,biochemical,human,0.905,CHEMBL
DRUG_TARGET_00340,DrugTargets,DRUG_00338,TARGET_00122,9.152,18.230953,12.572098,binding,literature,cellular,human,0.676,CHEMBL
DRUG_TARGET_00341,DrugTargets,DRUG_00078,TARGET_00005,8.351,56.008313,17.323283,binding,literature,biochemical,human,0.759,CHEMBL
DRUG_TARGET_00342,DrugTargets,DRUG_00140,TARGET_00016,6.914,51.078678,5.574272,activation,computational,biochemical,human,0.855,CHEMBL
DRUG_TARGET_00343,DrugTargets,DRUG_00171,TARGET_00025,5.488,2.726386,18.031955,binding,computational,cellular,human,0.691,CHEMBL
DRUG_TARGET_00344,DrugTargets,DRUG_00481,TARGET_00164,3.522,25.761428,15.998551,binding,computational,tissue,human,0.947,CHEMBL
DRUG_TARGET_00345,DrugTargets,DRUG_00481,TARGET_00124,7.458,41.749024,36.482813,modulation,computational,cellular,human,0.675,CHEMBL
DRUG_TARGET_00346,DrugTargets,DRUG_00030,TARGET_00180,3.97,98.744019,22.477013,activation,literature,cellular,human,0.845,CHEMBL
DRUG_TARGET_00347,DrugTargets,DRUG_00245,TARGET_00151,1.385,96.239086,35.006245,inhibition,experimental,cellular,human,0.766,CHEMBL
DRUG_TARGET_00348,DrugTargets,DRUG_00223,TARGET_00041,0.795,75.39659,8.492524,activation,experimental,biochemical,human,0.688,CHEMBL
DRUG_TARGET_00349,DrugTargets,DRUG_00146,TARGET_00180,9.898,63.006239,25.105842,activation,literature,biochemical,human,0.73,CHEMBL
DRUG_TARGET_00350,DrugTargets,DRUG_00167,TARGET_00097,9.506,88.509724,37.604874,binding,experimental,biochemical,human,0.693,CHEMBL
DRUG_TARGET_00351,DrugTargets,DRUG_00256,TARGET_00098,2.108,40.76883,25.223372,binding,computational,cellular,human,0.9,CHEMBL
DRUG_TARGET_00352,DrugTargets,DRUG_00474,TARGET_00033,4.823,65.595038,4.79632,modulation,computational,cellular,human,0.647,CHEMBL
DRUG_TARGET_00353,DrugTargets,DRUG_00425,TARGET_00187,5.982,47.387085,20.423558,binding,literature,biochemical,human,0.825,CHEMBL
DRUG_TARGET_00354,DrugTargets,DRUG_00459,TARGET_00154,2.248,20.638535,48.121441,activation,computational,cellular,human,0.704,CHEMBL
DRUG_TARGET_00355,DrugTargets,DRUG_00273,TARGET_00118,4.605,30.299892,4.553366,modulation,literature,biochemical,human,0.919,CHEMBL
DRUG_TARGET_00356,DrugTargets,DRUG_00312,TARGET_00115,9.63,83.545494,24.928171,activation,literature,cellular,human,0.79,CHEMBL
DRUG_TARGET_00357,DrugTargets,DRUG_00474,TARGET_00074,0.175,37.01366,6.426653,activation,experimental,tissue,human,0.64,CHEMBL
DRUG_TARGET_00358,DrugTargets,DRUG_00211,TARGET_00170,1.411,57.122608,49.581552,activation,computational,cellular,human,0.779,CHEMBL
DRUG_TARGET_00359,DrugTargets,DRUG_00026,TARGET_00029,6.107,15.864453,10.145352,activation,literature,biochemical,human,0.685,CHEMBL
DRUG_TARGET_00360,DrugTargets,DRUG_00058,TARGET_00090,6.691,62.852487,28.702464,inhibition,experimental,cellular,human,0.683,CHEMBL
DRUG_TARGET_00361,DrugTargets,DRUG_00149,TARGET_00135,1.451,24.868126,30.599627,activation,experimental,biochemical,human,0.602,CHEMBL
DRUG_TARGET_00362,DrugTargets,DRUG_00095,TARGET_00013,4.391,54.33539,30.669619,inhibition,computational,tissue,human,0.75,CHEMBL
DRUG_TARGET_00363,DrugTargets,DRUG_00339,TARGET_00028,5.105,9.441132,10.28459,binding,computational,biochemical,human,0.941,CHEMBL
DRUG_TARGET_00364,DrugTargets,DRUG_00205,TARGET_00098,7.124,51.474922,43.387929,modulation,computational,tissue,human,0.791,CHEMBL
DRUG_TARGET_00365,DrugTargets,DRUG_00281,TARGET_00187,1.324,22.110848,8.364146,modulation,computational,tissue,human,0.636,CHEMBL
DRUG_TARGET_00366,DrugTargets,DRUG_00171,TARGET_00081,6.532,52.284036,3.727956,modulation,literature,biochemical,human,0.936,CHEMBL
DRUG_TARGET_00367,DrugTargets,DRUG_00037,TARGET_00099,8.959,7.86775,19.082554,binding,experimental,tissue,human,0.733,CHEMBL
DRUG_TARGET_00368,DrugTargets,DRUG_00363,TARGET_00044,7.683,0.580135,34.822161,binding,computational,biochemical,human,0.882,CHEMBL
DRUG_TARGET_00369,DrugTargets,DRUG_00466,TARGET_00172,9.351,89.734376,30.372584,inhibition,literature,cellular,human,0.675,CHEMBL
DRUG_TARGET_00370,DrugTargets,DRUG_00115,TARGET_00105,2.282,0.58315,14.71605,activation,computational,cellular,human,0.687,CHEMBL
DRUG_TARGET_00371,DrugTargets,DRUG_00333,TARGET_00128,0.902,39.942316,36.516003,inhibition,literature,cellular,human,0.719,CHEMBL
DRUG_TARGET_00372,DrugTargets,DRUG_00083,TARGET_00192,1.113,16.48942,36.298751,binding,computational,cellular,human,0.919,CHEMBL
