Id,Label,FromId,ToId,Properties:tanimoto,Properties:dice,Properties:cosine,Properties:fingerprint,Properties:scaffold,Properties:pharmacophore,Properties:confidence,Properties:source
COMPOUND_SIMILARITY_00159,StructuralSimilarity,COMPOUND_00252,COMPOUND_00110,0.931,0.89,0.59,RDKit,similar,0.748,0.8,SIMILARITY_CALC
COMPOUND_SIMILARITY_00160,StructuralSimilarity,COMPOUND_00252,COMPOUND_00272,0.888,0.714,0.854,MACCS,same,0.436,0.888,SIMILARITY_CALC
COMPOUND_SIMILARITY_00161,StructuralSimilarity,COMPOUND_00254,COMPOUND_00031,0.806,0.883,0.881,FCFP6,same,0.878,0.979,SIMILARITY_CALC
COMPOUND_SIMILARITY_00162,StructuralSimilarity,COMPOUND_00172,COMPOUND_00147,0.584,0.594,0.853,FCFP6,same,0.267,0.949,SIMILARITY_CALC
COMPOUND_SIMILARITY_00163,StructuralSimilarity,COMPOUND_00147,COMPOUND_00181,0.511,0.823,0.502,ECFP4,different,0.615,0.913,SIMILARITY_CALC
COMPOUND_SIMILARITY_00164,StructuralSimilarity,COMPOUND_00256,COMPOUND_00120,0.715,0.615,0.306,FCFP6,different,0.696,0.888,SIMILARITY_CALC
COMPOUND_SIMILARITY_00165,StructuralSimilarity,COMPOUND_00075,COMPOUND_00082,0.524,0.354,0.312,ECFP4,same,0.859,0.821,SIMILARITY_CALC
COMPOUND_SIMILARITY_00166,StructuralSimilarity,COMPOUND_00235,COMPOUND_00003,0.645,0.943,0.628,FCFP6,different,0.731,0.83,SIMILARITY_CALC
COMPOUND_SIMILARITY_00167,StructuralSimilarity,COMPOUND_00281,COMPOUND_00239,0.741,0.783,0.373,ECFP4,same,0.405,0.965,SIMILARITY_CALC
COMPOUND_SIMILARITY_00168,StructuralSimilarity,COMPOUND_00076,COMPOUND_00049,0.43,0.885,0.563,MACCS,same,0.696,0.961,SIMILARITY_CALC
COMPOUND_SIMILARITY_00169,StructuralSimilarity,COMPOUND_00216,COMPOUND_00048,0.642,0.527,0.696,MACCS,same,0.861,0.957,SIMILARITY_CALC
COMPOUND_SIMILARITY_00170,StructuralSimilarity,COMPOUND_00222,COMPOUND_00078,0.363,0.873,0.492,MACCS,similar,0.225,0.963,SIMILARITY_CALC
COMPOUND_SIMILARITY_00171,StructuralSimilarity,COMPOUND_00298,COMPOUND_00105,0.878,0.935,0.758,MACCS,different,0.274,0.802,SIMILARITY_CALC
COMPOUND_SIMILARITY_00172,StructuralSimilarity,COMPOUND_00060,COMPOUND_00297,0.85,0.767,0.927,MACCS,similar,0.46,0.925,SIMILARITY_CALC
COMPOUND_SIMILARITY_00173,StructuralSimilarity,COMPOUND_00071,COMPOUND_00168,0.437,0.411,0.685,ECFP4,similar,0.672,0.882,SIMILARITY_CALC
COMPOUND_SIMILARITY_00174,StructuralSimilarity,COMPOUND_00230,COMPOUND_00232,0.349,0.682,0.768,FCFP6,same,0.251,0.862,SIMILARITY_CALC
COMPOUND_SIMILARITY_00175,StructuralSimilarity,COMPOUND_00293,COMPOUND_00156,0.472,0.861,0.765,ECFP4,same,0.584,0.914,SIMILARITY_CALC
COMPOUND_SIMILARITY_00176,StructuralSimilarity,COMPOUND_00081,COMPOUND_00273,0.687,0.917,0.596,FCFP6,different,0.278,0.879,SIMILARITY_CALC
COMPOUND_SIMILARITY_00177,StructuralSimilarity,COMPOUND_00159,COMPOUND_00001,0.505,0.769,0.697,ECFP4,same,0.267,0.754,SIMILARITY_CALC
COMPOUND_SIMILARITY_00178,StructuralSimilarity,COMPOUND_00183,COMPOUND_00284,0.519,0.486,0.797,RDKit,same,0.341,0.889,SIMILARITY_CALC
COMPOUND_SIMILARITY_00179,StructuralSimilarity,COMPOUND_00104,COMPOUND_00123,0.863,0.671,0.414,ECFP4,same,0.599,0.842,SIMILARITY_CALC
COMPOUND_SIMILARITY_00180,StructuralSimilarity,COMPOUND_00062,COMPOUND_00039,0.347,0.778,0.723,RDKit,different,0.538,0.95,SIMILARITY_CALC
COMPOUND_SIMILARITY_00181,StructuralSimilarity,COMPOUND_00042,COMPOUND_00129,0.406,0.604,0.929,MACCS,same,0.409,0.783,SIMILARITY_CALC
COMPOUND_SIMILARITY_00182,StructuralSimilarity,COMPOUND_00151,COMPOUND_00243,0.817,0.707,0.586,RDKit,same,0.498,0.938,SIMILARITY_CALC
COMPOUND_SIMILARITY_00183,StructuralSimilarity,COMPOUND_00249,COMPOUND_00136,0.916,0.5,0.891,ECFP4,different,0.345,0.877,SIMILARITY_CALC
COMPOUND_SIMILARITY_00184,StructuralSimilarity,COMPOUND_00183,COMPOUND_00042,0.539,0.611,0.48,ECFP4,same,0.71,0.933,SIMILARITY_CALC
COMPOUND_SIMILARITY_00185,StructuralSimilarity,COMPOUND_00039,COMPOUND_00186,0.392,0.935,0.63,ECFP4,similar,0.78,0.753,SIMILARITY_CALC
COMPOUND_SIMILARITY_00186,StructuralSimilarity,COMPOUND_00110,COMPOUND_00199,0.322,0.809,0.853,ECFP4,different,0.485,0.937,SIMILARITY_CALC
COMPOUND_SIMILARITY_00187,StructuralSimilarity,COMPOUND_00260,COMPOUND_00099,0.773,0.842,0.481,ECFP4,different,0.666,0.904,SIMILARITY_CALC
COMPOUND_SIMILARITY_00188,StructuralSimilarity,COMPOUND_00235,COMPOUND_00150,0.467,0.93,0.945,ECFP4,same,0.292,0.969,SIMILARITY_CALC
COMPOUND_SIMILARITY_00189,StructuralSimilarity,COMPOUND_00193,COMPOUND_00294,0.441,0.366,0.335,MACCS,same,0.695,0.924,SIMILARITY_CALC
COMPOUND_SIMILARITY_00190,StructuralSimilarity,COMPOUND_00239,COMPOUND_00263,0.576,0.353,0.759,ECFP4,similar,0.207,0.837,SIMILARITY_CALC
COMPOUND_SIMILARITY_00191,StructuralSimilarity,COMPOUND_00282,COMPOUND_00035,0.533,0.548,0.411,MACCS,same,0.524,0.976,SIMILARITY_CALC
COMPOUND_SIMILARITY_00192,StructuralSimilarity,COMPOUND_00144,COMPOUND_00119,0.499,0.324,0.632,FCFP6,different,0.288,0.968,SIMILARITY_CALC
COMPOUND_SIMILARITY_00193,StructuralSimilarity,COMPOUND_00208,COMPOUND_00194,0.536,0.691,0.585,FCFP6,similar,0.343,0.827,SIMILARITY_CALC
COMPOUND_SIMILARITY_00194,StructuralSimilarity,COMPOUND_00031,COMPOUND_00106,0.868,0.888,0.87,RDKit,similar,0.712,0.788,SIMILARITY_CALC
COMPOUND_SIMILARITY_00195,StructuralSimilarity,COMPOUND_00004,COMPOUND_00107,0.539,0.825,0.703,MACCS,same,0.228,0.786,SIMILARITY_CALC
COMPOUND_SIMILARITY_00196,StructuralSimilarity,COMPOUND_00034,COMPOUND_00241,0.944,0.482,0.348,ECFP4,same,0.303,0.903,SIMILARITY_CALC
COMPOUND_SIMILARITY_00197,StructuralSimilarity,COMPOUND_00157,COMPOUND_00150,0.838,0.451,0.82,FCFP6,similar,0.501,0.757,SIMILARITY_CALC
COMPOUND_SIMILARITY_00198,StructuralSimilarity,COMPOUND_00072,COMPOUND_00278,0.84,0.585,0.892,ECFP4,same,0.437,0.851,SIMILARITY_CALC
COMPOUND_SIMILARITY_00199,StructuralSimilarity,COMPOUND_00123,COMPOUND_00108,0.8,0.616,0.593,RDKit,different,0.614,0.811,SIMILARITY_CALC
COMPOUND_SIMILARITY_00200,StructuralSimilarity,COMPOUND_00111,COMPOUND_00146,0.841,0.7,0.946,MACCS,same,0.789,0.969,SIMILARITY_CALC
COMPOUND_SIMILARITY_00201,StructuralSimilarity,COMPOUND_00138,COMPOUND_00137,0.343,0.828,0.555,ECFP4,different,0.569,0.97,SIMILARITY_CALC
COMPOUND_SIMILARITY_00202,StructuralSimilarity,COMPOUND_00284,COMPOUND_00086,0.82,0.643,0.66,MACCS,different,0.612,0.938,SIMILARITY_CALC
COMPOUND_SIMILARITY_00203,StructuralSimilarity,COMPOUND_00055,COMPOUND_00105,0.838,0.876,0.886,MACCS,different,0.229,0.879,SIMILARITY_CALC
COMPOUND_SIMILARITY_00204,StructuralSimilarity,COMPOUND_00030,COMPOUND_00227,0.438,0.428,0.804,MACCS,similar,0.448,0.829,SIMILARITY_CALC
COMPOUND_SIMILARITY_00205,StructuralSimilarity,COMPOUND_00074,COMPOUND_00267,0.91,0.779,0.332,FCFP6,similar,0.373,0.752,SIMILARITY_CALC
COMPOUND_SIMILARITY_00206,StructuralSimilarity,COMPOUND_00223,COMPOUND_00156,0.836,0.395,0.526,ECFP4,different,0.627,0.972,SIMILARITY_CALC
COMPOUND_SIMILARITY_00207,StructuralSimilarity,COMPOUND_00044,COMPOUND_00080,0.932,0.846,0.3,RDKit,similar,0.511,0.778,SIMILARITY_CALC
COMPOUND_SIMILARITY_00208,StructuralSimilarity,COMPOUND_00108,COMPOUND_00079,0.445,0.589,0.946,RDKit,different,0.693,0.766,SIMILARITY_CALC
COMPOUND_SIMILARITY_00209,StructuralSimilarity,COMPOUND_00044,COMPOUND_00270,0.704,0.752,0.47,ECFP4,different,0.863,0.799,SIMILARITY_CALC
COMPOUND_SIMILARITY_00210,StructuralSimilarity,COMPOUND_00202,COMPOUND_00122,0.319,0.629,0.388,ECFP4,different,0.777,0.823,SIMILARITY_CALC
COMPOUND_SIMILARITY_00211,StructuralSimilarity,COMPOUND_00241,COMPOUND_00058,0.838,0.641,0.578,RDKit,similar,0.808,0.814,SIMILARITY_CALC
COMPOUND_SIMILARITY_00212,StructuralSimilarity,COMPOUND_00057,COMPOUND_00064,0.667,0.588,0.66,FCFP6,same,0.898,0.852,SIMILARITY_CALC
COMPOUND_SIMILARITY_00213,StructuralSimilarity,COMPOUND_00111,COMPOUND_00098,0.593,0.399,0.398,MACCS,same,0.793,0.817,SIMILARITY_CALC
COMPOUND_SIMILARITY_00214,StructuralSimilarity,COMPOUND_00204,COMPOUND_00282,0.794,0.322,0.401,RDKit,similar,0.555,0.892,SIMILARITY_CALC
COMPOUND_SIMILARITY_00215,StructuralSimilarity,COMPOUND_00201,COMPOUND_00082,0.666,0.765,0.741,FCFP6,same,0.79,0.839,SIMILARITY_CALC
COMPOUND_SIMILARITY_00216,StructuralSimilarity,COMPOUND_00045,COMPOUND_00287,0.785,0.731,0.325,RDKit,similar,0.801,0.938,SIMILARITY_CALC
COMPOUND_SIMILARITY_00217,StructuralSimilarity,COMPOUND_00193,COMPOUND_00045,0.631,0.589,0.669,MACCS,same,0.433,0.872,SIMILARITY_CALC
COMPOUND_SIMILARITY_00218,StructuralSimilarity,COMPOUND_00122,COMPOUND_00014,0.845,0.606,0.654,ECFP4,same,0.354,0.93,SIMILARITY_CALC
COMPOUND_SIMILARITY_00219,StructuralSimilarity,COMPOUND_00020,COMPOUND_00235,0.943,0.324,0.678,RDKit,similar,0.78,0.886,SIMILARITY_CALC
COMPOUND_SIMILARITY_00220,StructuralSimilarity,COMPOUND_00039,COMPOUND_00223,0.81,0.502,0.925,FCFP6,same,0.264,0.977,SIMILARITY_CALC
COMPOUND_SIMILARITY_00221,StructuralSimilarity,COMPOUND_00032,COMPOUND_00001,0.636,0.389,0.692,ECFP4,same,0.525,0.939,SIMILARITY_CALC
COMPOUND_SIMILARITY_00222,StructuralSimilarity,COMPOUND_00092,COMPOUND_00222,0.477,0.517,0.48,RDKit,different,0.507,0.887,SIMILARITY_CALC
COMPOUND_SIMILARITY_00223,StructuralSimilarity,COMPOUND_00134,COMPOUND_00054,0.517,0.369,0.746,MACCS,similar,0.42,0.882,SIMILARITY_CALC
COMPOUND_SIMILARITY_00224,StructuralSimilarity,COMPOUND_00138,COMPOUND_00086,0.337,0.74,0.391,ECFP4,different,0.517,0.936,SIMILARITY_CALC
COMPOUND_SIMILARITY_00225,StructuralSimilarity,COMPOUND_00025,COMPOUND_00075,0.587,0.39,0.627,FCFP6,different,0.825,0.755,SIMILARITY_CALC
COMPOUND_SIMILARITY_00226,StructuralSimilarity,COMPOUND_00229,COMPOUND_00091,0.859,0.601,0.535,MACCS,similar,0.698,0.843,SIMILARITY_CALC
COMPOUND_SIMILARITY_00227,StructuralSimilarity,COMPOUND_00109,COMPOUND_00282,0.323,0.779,0.505,FCFP6,same,0.383,0.758,SIMILARITY_CALC
COMPOUND_SIMILARITY_00228,StructuralSimilarity,COMPOUND_00035,COMPOUND_00156,0.737,0.886,0.614,ECFP4,similar,0.302,0.949,SIMILARITY_CALC
COMPOUND_SIMILARITY_00229,StructuralSimilarity,COMPOUND_00172,COMPOUND_00035,0.865,0.494,0.365,FCFP6,same,0.889,0.882,SIMILARITY_CALC
COMPOUND_SIMILARITY_00230,StructuralSimilarity,COMPOUND_00017,COMPOUND_00003,0.593,0.556,0.615,RDKit,same,0.852,0.922,SIMILARITY_CALC
COMPOUND_SIMILARITY_00231,StructuralSimilarity,COMPOUND_00186,COMPOUND_00234,0.839,0.526,0.492,FCFP6,different,0.619,0.79,SIMILARITY_CALC
COMPOUND_SIMILARITY_00232,StructuralSimilarity,COMPOUND_00223,COMPOUND_00217,0.754,0.755,0.56,RDKit,different,0.781,0.978,SIMILARITY_CALC
COMPOUND_SIMILARITY_00233,StructuralSimilarity,COMPOUND_00112,COMPOUND_00296,0.334,0.45,0.328,FCFP6,different,0.45,0.794,SIMILARITY_CALC
COMPOUND_SIMILARITY_00234,StructuralSimilarity,COMPOUND_00251,COMPOUND_00119,0.615,0.866,0.752,MACCS,different,0.66,0.947,SIMILARITY_CALC
COMPOUND_SIMILARITY_00235,StructuralSimilarity,COMPOUND_00176,COMPOUND_00148,0.886,0.416,0.35,RDKit,similar,0.835,0.919,SIMILARITY_CALC
COMPOUND_SIMILARITY_00236,StructuralSimilarity,COMPOUND_00004,COMPOUND_00012,0.656,0.721,0.574,MACCS,different,0.314,0.842,SIMILARITY_CALC
COMPOUND_SIMILARITY_00237,StructuralSimilarity,COMPOUND_00076,COMPOUND_00033,0.826,0.481,0.553,ECFP4,different,0.662,0.829,SIMILARITY_CALC
COMPOUND_SIMILARITY_00238,StructuralSimilarity,COMPOUND_00104,COMPOUND_00236,0.872,0.4,0.832,FCFP6,different,0.707,0.799,SIMILARITY_CALC
COMPOUND_SIMILARITY_00239,StructuralSimilarity,COMPOUND_00016,COMPOUND_00061,0.443,0.52,0.945,ECFP4,same,0.359,0.859,SIMILARITY_CALC
COMPOUND_SIMILARITY_00240,StructuralSimilarity,COMPOUND_00041,COMPOUND_00298,0.311,0.406,0.368,MACCS,different,0.84,0.964,SIMILARITY_CALC
COMPOUND_SIMILARITY_00241,StructuralSimilarity,COMPOUND_00033,COMPOUND_00290,0.439,0.819,0.648,MACCS,same,0.207,0.847,SIMILARITY_CALC
COMPOUND_SIMILARITY_00242,StructuralSimilarity,COMPOUND_00134,COMPOUND_00102,0.713,0.33,0.315,ECFP4,same,0.785,0.777,SIMILARITY_CALC
COMPOUND_SIMILARITY_00243,StructuralSimilarity,COMPOUND_00271,COMPOUND_00100,0.456,0.429,0.334,RDKit,different,0.34,0.901,SIMILARITY_CALC
COMPOUND_SIMILARITY_00244,StructuralSimilarity,COMPOUND_00085,COMPOUND_00278,0.593,0.4,0.873,ECFP4,similar,0.562,0.895,SIMILARITY_CALC
COMPOUND_SIMILARITY_00245,StructuralSimilarity,COMPOUND_00218,COMPOUND_00164,0.431,0.501,0.386,RDKit,different,0.71,0.815,SIMILARITY_CALC
COMPOUND_SIMILARITY_00246,StructuralSimilarity,COMPOUND_00247,COMPOUND_00159,0.795,0.935,0.548,ECFP4,different,0.378,0.811,SIMILARITY_CALC
COMPOUND_SIMILARITY_00247,StructuralSimilarity,COMPOUND_00222,COMPOUND_00300,0.506,0.376,0.515,FCFP6,similar,0.799,0.942,SIMILARITY_CALC
COMPOUND_SIMILARITY_00248,StructuralSimilarity,COMPOUND_00191,COMPOUND_00140,0.465,0.662,0.67,MACCS,similar,0.406,0.861,SIMILARITY_CALC
COMPOUND_SIMILARITY_00249,StructuralSimilarity,COMPOUND_00131,COMPOUND_00002,0.658,0.442,0.337,ECFP4,different,0.364,0.91,SIMILARITY_CALC
COMPOUND_SIMILARITY_00250,StructuralSimilarity,COMPOUND_00172,COMPOUND_00106,0.521,0.77,0.567,MACCS,different,0.246,0.777,SIMILARITY_CALC
COMPOUND_SIMILARITY_00251,StructuralSimilarity,COMPOUND_00198,COMPOUND_00211,0.655,0.727,0.792,FCFP6,same,0.798,0.794,SIMILARITY_CALC
COMPOUND_SIMILARITY_00252,StructuralSimilarity,COMPOUND_00152,COMPOUND_00276,0.73,0.721,0.619,RDKit,same,0.36,0.912,SIMILARITY_CALC
COMPOUND_SIMILARITY_00253,StructuralSimilarity,COMPOUND_00205,COMPOUND_00078,0.305,0.5,0.776,MACCS,different,0.203,0.827,SIMILARITY_CALC
COMPOUND_SIMILARITY_00254,StructuralSimilarity,COMPOUND_00286,COMPOUND_00104,0.831,0.938,0.757,ECFP4,same,0.856,0.921,SIMILARITY_CALC
COMPOUND_SIMILARITY_00255,StructuralSimilarity,COMPOUND_00139,COMPOUND_00184,0.443,0.701,0.938,MACCS,similar,0.805,0.93,SIMILARITY_CALC
COMPOUND_SIMILARITY_00256,StructuralSimilarity,COMPOUND_00092,COMPOUND_00276,0.847,0.788,0.82,ECFP4,same,0.251,0.963,SIMILARITY_CALC
COMPOUND_SIMILARITY_00257,StructuralSimilarity,COMPOUND_00158,COMPOUND_00125,0.873,0.812,0.321,MACCS,same,0.835,0.794,SIMILARITY_CALC
COMPOUND_SIMILARITY_00258,StructuralSimilarity,COMPOUND_00057,COMPOUND_00227,0.927,0.808,0.786,ECFP4,different,0.318,0.78,SIMILARITY_CALC
COMPOUND_SIMILARITY_00259,StructuralSimilarity,COMPOUND_00151,COMPOUND_00161,0.728,0.753,0.823,RDKit,different,0.249,0.861,SIMILARITY_CALC
COMPOUND_SIMILARITY_00260,StructuralSimilarity,COMPOUND_00214,COMPOUND_00086,0.646,0.693,0.377,MACCS,same,0.316,0.789,SIMILARITY_CALC
COMPOUND_SIMILARITY_00261,StructuralSimilarity,COMPOUND_00168,COMPOUND_00295,0.599,0.421,0.344,ECFP4,different,0.208,0.9,SIMILARITY_CALC
COMPOUND_SIMILARITY_00262,StructuralSimilarity,COMPOUND_00292,COMPOUND_00023,0.389,0.557,0.583,MACCS,similar,0.356,0.775,SIMILARITY_CALC
COMPOUND_SIMILARITY_00263,StructuralSimilarity,COMPOUND_00002,COMPOUND_00204,0.795,0.385,0.765,MACCS,different,0.41,0.824,SIMILARITY_CALC
COMPOUND_SIMILARITY_00264,StructuralSimilarity,COMPOUND_00145,COMPOUND_00269,0.947,0.388,0.69,FCFP6,same,0.305,0.817,SIMILARITY_CALC
COMPOUND_SIMILARITY_00265,StructuralSimilarity,COMPOUND_00178,COMPOUND_00221,0.354,0.669,0.568,ECFP4,same,0.21,0.94,SIMILARITY_CALC
COMPOUND_SIMILARITY_00266,StructuralSimilarity,COMPOUND_00128,COMPOUND_00280,0.477,0.934,0.779,ECFP4,similar,0.622,0.783,SIMILARITY_CALC
COMPOUND_SIMILARITY_00267,StructuralSimilarity,COMPOUND_00007,COMPOUND_00154,0.746,0.434,0.302,RDKit,different,0.852,0.963,SIMILARITY_CALC
COMPOUND_SIMILARITY_00268,StructuralSimilarity,COMPOUND_00009,COMPOUND_00049,0.873,0.928,0.626,RDKit,same,0.256,0.951,SIMILARITY_CALC
COMPOUND_SIMILARITY_00269,StructuralSimilarity,COMPOUND_00001,COMPOUND_00091,0.829,0.367,0.549,RDKit,different,0.687,0.758,SIMILARITY_CALC
COMPOUND_SIMILARITY_00270,StructuralSimilarity,COMPOUND_00120,COMPOUND_00292,0.841,0.459,0.784,RDKit,different,0.228,0.914,SIMILARITY_CALC
COMPOUND_SIMILARITY_00271,StructuralSimilarity,COMPOUND_00167,COMPOUND_00055,0.717,0.822,0.734,RDKit,similar,0.545,0.951,SIMILARITY_CALC
COMPOUND_SIMILARITY_00272,StructuralSimilarity,COMPOUND_00263,COMPOUND_00244,0.919,0.444,0.662,MACCS,different,0.343,0.819,SIMILARITY_CALC
COMPOUND_SIMILARITY_00273,StructuralSimilarity,COMPOUND_00102,COMPOUND_00195,0.696,0.665,0.605,MACCS,same,0.807,0.828,SIMILARITY_CALC
COMPOUND_SIMILARITY_00274,StructuralSimilarity,COMPOUND_00242,COMPOUND_00184,0.825,0.676,0.853,ECFP4,different,0.504,0.855,SIMILARITY_CALC
COMPOUND_SIMILARITY_00275,StructuralSimilarity,COMPOUND_00098,COMPOUND_00229,0.803,0.471,0.708,RDKit,different,0.547,0.83,SIMILARITY_CALC
COMPOUND_SIMILARITY_00276,StructuralSimilarity,COMPOUND_00191,COMPOUND_00167,0.608,0.945,0.42,ECFP4,different,0.797,0.828,SIMILARITY_CALC
COMPOUND_SIMILARITY_00277,StructuralSimilarity,COMPOUND_00020,COMPOUND_00082,0.937,0.651,0.394,MACCS,different,0.661,0.75,SIMILARITY_CALC
COMPOUND_SIMILARITY_00278,StructuralSimilarity,COMPOUND_00132,COMPOUND_00121,0.44,0.679,0.868,RDKit,different,0.585,0.853,SIMILARITY_CALC
COMPOUND_SIMILARITY_00279,StructuralSimilarity,COMPOUND_00119,COMPOUND_00172,0.419,0.382,0.746,MACCS,different,0.369,0.761,SIMILARITY_CALC
COMPOUND_SIMILARITY_00280,StructuralSimilarity,COMPOUND_00086,COMPOUND_00074,0.43,0.573,0.532,ECFP4,similar,0.765,0.764,SIMILARITY_CALC
COMPOUND_SIMILARITY_00281,StructuralSimilarity,COMPOUND_00246,COMPOUND_00036,0.861,0.613,0.909,MACCS,similar,0.835,0.871,SIMILARITY_CALC
COMPOUND_SIMILARITY_00282,StructuralSimilarity,COMPOUND_00039,COMPOUND_00036,0.571,0.83,0.614,MACCS,same,0.68,0.767,SIMILARITY_CALC
COMPOUND_SIMILARITY_00283,StructuralSimilarity,COMPOUND_00120,COMPOUND_00133,0.415,0.428,0.907,FCFP6,same,0.229,0.924,SIMILARITY_CALC
COMPOUND_SIMILARITY_00284,StructuralSimilarity,COMPOUND_00262,COMPOUND_00102,0.928,0.379,0.688,MACCS,similar,0.363,0.923,SIMILARITY_CALC
COMPOUND_SIMILARITY_00285,StructuralSimilarity,COMPOUND_00287,COMPOUND_00048,0.409,0.904,0.383,ECFP4,similar,0.286,0.789,SIMILARITY_CALC
COMPOUND_SIMILARITY_00286,StructuralSimilarity,COMPOUND_00249,COMPOUND_00247,0.69,0.948,0.467,FCFP6,different,0.741,0.789,SIMILARITY_CALC
COMPOUND_SIMILARITY_00287,StructuralSimilarity,COMPOUND_00162,COMPOUND_00148,0.554,0.846,0.429,FCFP6,similar,0.729,0.932,SIMILARITY_CALC
COMPOUND_SIMILARITY_00288,StructuralSimilarity,COMPOUND_00105,COMPOUND_00258,0.477,0.599,0.408,RDKit,same,0.251,0.926,SIMILARITY_CALC
COMPOUND_SIMILARITY_00289,StructuralSimilarity,COMPOUND_00079,COMPOUND_00246,0.415,0.629,0.364,RDKit,similar,0.531,0.855,SIMILARITY_CALC
COMPOUND_SIMILARITY_00290,StructuralSimilarity,COMPOUND_00229,COMPOUND_00066,0.652,0.545,0.56,ECFP4,different,0.761,0.928,SIMILARITY_CALC
COMPOUND_SIMILARITY_00291,StructuralSimilarity,COMPOUND_00275,COMPOUND_00187,0.624,0.408,0.648,ECFP4,different,0.776,0.822,SIMILARITY_CALC
COMPOUND_SIMILARITY_00292,StructuralSimilarity,COMPOUND_00019,COMPOUND_00141,0.838,0.499,0.79,RDKit,same,0.617,0.905,SIMILARITY_CALC
COMPOUND_SIMILARITY_00293,StructuralSimilarity,COMPOUND_00191,COMPOUND_00054,0.487,0.762,0.335,FCFP6,similar,0.769,0.971,SIMILARITY_CALC
COMPOUND_SIMILARITY_00294,StructuralSimilarity,COMPOUND_00163,COMPOUND_00179,0.392,0.698,0.805,MACCS,same,0.889,0.762,SIMILARITY_CALC
COMPOUND_SIMILARITY_00295,StructuralSimilarity,COMPOUND_00142,COMPOUND_00232,0.939,0.813,0.727,RDKit,similar,0.9,0.837,SIMILARITY_CALC
COMPOUND_SIMILARITY_00296,StructuralSimilarity,COMPOUND_00016,COMPOUND_00055,0.712,0.498,0.8,FCFP6,different,0.483,0.906,SIMILARITY_CALC
COMPOUND_SIMILARITY_00297,StructuralSimilarity,COMPOUND_00044,COMPOUND_00294,0.354,0.699,0.92,FCFP6,same,0.386,0.934,SIMILARITY_CALC
COMPOUND_SIMILARITY_00298,StructuralSimilarity,COMPOUND_00053,COMPOUND_00255,0.644,0.493,0.502,FCFP6,same,0.793,0.867,SIMILARITY_CALC
COMPOUND_SIMILARITY_00299,StructuralSimilarity,COMPOUND_00068,COMPOUND_00193,0.675,0.671,0.684,FCFP6,same,0.41,0.781,SIMILARITY_CALC
COMPOUND_SIMILARITY_00300,StructuralSimilarity,COMPOUND_00194,COMPOUND_00188,0.532,0.608,0.501,MACCS,different,0.7,0.912,SIMILARITY_CALC
COMPOUND_SIMILARITY_00301,StructuralSimilarity,COMPOUND_00147,COMPOUND_00221,0.367,0.674,0.588,ECFP4,same,0.321,0.932,SIMILARITY_CALC
COMPOUND_SIMILARITY_00302,StructuralSimilarity,COMPOUND_00189,COMPOUND_00157,0.558,0.457,0.842,FCFP6,same,0.728,0.965,SIMILARITY_CALC
COMPOUND_SIMILARITY_00303,StructuralSimilarity,COMPOUND_00092,COMPOUND_00273,0.407,0.653,0.539,FCFP6,similar,0.83,0.941,SIMILARITY_CALC
COMPOUND_SIMILARITY_00304,StructuralSimilarity,COMPOUND_00018,COMPOUND_00189,0.88,0.529,0.316,FCFP6,different,0.254,0.807,SIMILARITY_CALC
COMPOUND_SIMILARITY_00305,StructuralSimilarity,COMPOUND_00238,COMPOUND_00016,0.438,0.389,0.571,RDKit,similar,0.843,0.923,SIMILARITY_CALC
COMPOUND_SIMILARITY_00306,StructuralSimilarity,COMPOUND_00069,COMPOUND_00264,0.65,0.761,0.576,RDKit,different,0.54,0.886,SIMILARITY_CALC
COMPOUND_SIMILARITY_00307,StructuralSimilarity,COMPOUND_00017,COMPOUND_00181,0.677,0.447,0.921,FCFP6,same,0.827,0.782,SIMILARITY_CALC
COMPOUND_SIMILARITY_00308,StructuralSimilarity,COMPOUND_00058,COMPOUND_00087,0.649,0.651,0.346,MACCS,different,0.581,0.821,SIMILARITY_CALC
COMPOUND_SIMILARITY_00309,StructuralSimilarity,COMPOUND_00268,COMPOUND_00272,0.646,0.425,0.498,ECFP4,similar,0.297,0.969,SIMILARITY_CALC
COMPOUND_SIMILARITY_00310,StructuralSimilarity,COMPOUND_00154,COMPOUND_00160,0.332,0.355,0.677,MACCS,same,0.463,0.811,SIMILARITY_CALC
COMPOUND_SIMILARITY_00311,StructuralSimilarity,COMPOUND_00144,COMPOUND_00208,0.871,0.462,0.784,MACCS,similar,0.487,0.757,SIMILARITY_CALC
COMPOUND_SIMILARITY_00312,StructuralSimilarity,COMPOUND_00265,COMPOUND_00050,0.38,0.6,0.923,FCFP6,same,0.641,0.784,SIMILARITY_CALC
COMPOUND_SIMILARITY_00313,StructuralSimilarity,COMPOUND_00064,COMPOUND_00047,0.515,0.658,0.845,RDKit,similar,0.386,0.933,SIMILARITY_CALC
COMPOUND_SIMILARITY_00314,StructuralSimilarity,COMPOUND_00152,COMPOUND_00263,0.597,0.653,0.532,RDKit,same,0.449,0.923,SIMILARITY_CALC
COMPOUND_SIMILARITY_00315,StructuralSimilarity,COMPOUND_00280,COMPOUND_00164,0.446,0.327,0.492,MACCS,different,0.423,0.907,SIMILARITY_CALC
COMPOUND_SIMILARITY_00316,StructuralSimilarity,COMPOUND_00146,COMPOUND_00101,0.56,0.488,0.361,ECFP4,similar,0.839,0.814,SIMILARITY_CALC
